source,clip,video,seconds,system,condition,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,atten20_frac,mean_atten_db,gate_mean,burst_frac,limiter_frac
mad_communication,mad:training/244_43,pJ4nLxpp7io,4.0000,gtcrn_pretrained,mono,2.5910,4.0654,2.3608,0.1959,9.1413,nan,nan,nan
mad_communication,mad:training/244_43,pJ4nLxpp7io,4.0000,r7,ref_dup,2.5320,3.9327,2.0149,1.0000,39.7193,0.4479,0.3785,0.0319
mad_communication,mad:training/244_43,pJ4nLxpp7io,4.0000,r7,ref_zero,2.5234,3.1180,1.9223,0.0515,3.5758,0.0000,0.0000,0.0000
mad_communication,mad:training/244_43,pJ4nLxpp7io,4.0000,raw,mono,2.6817,2.0825,1.8238,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/246_6,0M0eOGobAos,3.0000,gtcrn_pretrained,mono,2.1962,3.7919,1.9594,0.4333,16.6209,nan,nan,nan
mad_communication,mad:training/246_6,0M0eOGobAos,3.0000,r7,ref_dup,2.5648,3.5399,1.9494,1.0000,43.3374,0.7937,0.0899,0.0000
mad_communication,mad:training/246_6,0M0eOGobAos,3.0000,r7,ref_zero,2.2027,3.1940,1.7976,0.2733,11.4683,0.0000,0.0000,0.0000
mad_communication,mad:training/246_6,0M0eOGobAos,3.0000,raw,mono,2.2673,1.6276,1.4550,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/248_11,2oyPGVoryaY,5.0000,gtcrn_pretrained,mono,2.2339,3.1374,1.8717,0.2040,12.6876,nan,nan,nan
mad_communication,mad:training/248_11,2oyPGVoryaY,5.0000,r7,ref_dup,2.4000,3.2467,1.8277,1.0000,45.4198,0.8694,0.0605,0.0000
mad_communication,mad:training/248_11,2oyPGVoryaY,5.0000,r7,ref_zero,2.2041,1.4808,1.3451,0.0360,5.5191,0.0000,0.0000,0.0000
mad_communication,mad:training/248_11,2oyPGVoryaY,5.0000,raw,mono,1.2027,1.1370,1.0898,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/249_7,3orkL84sGIs,7.0000,gtcrn_pretrained,mono,3.0263,3.8328,2.6895,0.5257,25.1975,nan,nan,nan
mad_communication,mad:training/249_7,3orkL84sGIs,7.0000,r7,ref_dup,2.2417,3.6259,1.7611,1.0000,48.4924,1.0000,0.0000,0.0000
mad_communication,mad:training/249_7,3orkL84sGIs,7.0000,r7,ref_zero,3.0270,3.6905,2.6406,0.4800,18.0579,0.0000,0.0000,0.0000
mad_communication,mad:training/249_7,3orkL84sGIs,7.0000,raw,mono,1.3530,1.2089,1.1681,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/253_22,KxN50GNWOCQ,3.0000,gtcrn_pretrained,mono,2.4511,3.7652,2.1281,0.0630,5.4372,nan,nan,nan
mad_communication,mad:training/253_22,KxN50GNWOCQ,3.0000,r7,ref_dup,2.5706,3.8384,1.9816,1.0000,37.3602,0.6521,0.2063,0.0106
mad_communication,mad:training/253_22,KxN50GNWOCQ,3.0000,r7,ref_zero,2.5608,3.6686,2.1852,0.0000,1.3520,0.0000,0.0000,0.0000
mad_communication,mad:training/253_22,KxN50GNWOCQ,3.0000,raw,mono,2.6878,3.3623,2.1709,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/254_10,NK_lQl2-j1A,10.0000,gtcrn_pretrained,mono,2.6068,4.0756,2.4333,0.2900,14.6179,nan,nan,nan
mad_communication,mad:training/254_10,NK_lQl2-j1A,10.0000,r7,ref_dup,2.5409,3.4887,1.9721,1.0000,36.9128,0.8978,0.0495,0.0000
mad_communication,mad:training/254_10,NK_lQl2-j1A,10.0000,r7,ref_zero,2.3873,3.5297,2.0899,0.1780,10.2624,0.0000,0.0000,0.0000
mad_communication,mad:training/254_10,NK_lQl2-j1A,10.0000,raw,mono,2.4402,1.8393,1.7352,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/255_16,agbBksKN52E,5.0000,gtcrn_pretrained,mono,1.8003,3.7171,1.4716,0.8760,36.1369,nan,nan,nan
mad_communication,mad:training/255_16,agbBksKN52E,5.0000,r7,ref_dup,2.6989,3.6132,2.0547,1.0000,44.4119,1.0000,0.0000,0.0000
mad_communication,mad:training/255_16,agbBksKN52E,5.0000,r7,ref_zero,1.6717,2.9592,1.3459,0.9160,32.1286,0.0000,0.0000,0.0000
mad_communication,mad:training/255_16,agbBksKN52E,5.0000,raw,mono,1.1588,1.1223,1.0955,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/260_5,a2gwUGtaGT8,8.0000,gtcrn_pretrained,mono,3.1838,3.8622,2.8294,0.4000,17.8097,nan,nan,nan
mad_communication,mad:training/260_5,a2gwUGtaGT8,8.0000,r7,ref_dup,2.4601,3.7818,1.9765,1.0000,39.5643,0.7746,0.1158,0.0060
mad_communication,mad:training/260_5,a2gwUGtaGT8,8.0000,r7,ref_zero,3.1722,3.0823,2.5057,0.3132,12.0364,0.0000,0.0000,0.0000
mad_communication,mad:training/260_5,a2gwUGtaGT8,8.0000,raw,mono,3.4975,2.6869,2.5349,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/261_4,--QG9dLN6f4,3.0000,gtcrn_pretrained,mono,2.1887,3.8089,1.9305,0.1628,7.7487,nan,nan,nan
mad_communication,mad:training/261_4,--QG9dLN6f4,3.0000,r7,ref_dup,2.5138,3.8708,2.0399,1.0000,50.2043,0.3571,0.6138,0.5873
mad_communication,mad:training/261_4,--QG9dLN6f4,3.0000,r7,ref_zero,2.2156,3.5451,1.8270,0.0000,3.8978,0.3519,0.0000,0.0000
mad_communication,mad:training/261_4,--QG9dLN6f4,3.0000,raw,mono,2.3929,2.8259,1.8133,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/262_12,v_yOX-5rdWY,5.0000,gtcrn_pretrained,mono,2.8591,3.3245,2.2938,0.0962,5.8184,nan,nan,nan
mad_communication,mad:training/262_12,v_yOX-5rdWY,5.0000,r7,ref_dup,2.5223,3.6101,1.9521,1.0000,36.4763,0.6460,0.1879,0.0000
mad_communication,mad:training/262_12,v_yOX-5rdWY,5.0000,r7,ref_zero,2.9058,2.7458,2.0968,0.0000,2.2227,0.0000,0.0000,0.0000
mad_communication,mad:training/262_12,v_yOX-5rdWY,5.0000,raw,mono,1.8886,1.4495,1.3771,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/269_4,uctRYVWEDFI,8.0000,gtcrn_pretrained,mono,2.3579,3.9284,1.9181,0.6375,25.8867,nan,nan,nan
mad_communication,mad:training/269_4,uctRYVWEDFI,8.0000,r7,ref_dup,2.7561,3.9476,2.1634,1.0000,34.1538,0.9067,0.0459,0.0040
mad_communication,mad:training/269_4,uctRYVWEDFI,8.0000,r7,ref_zero,2.0897,2.8644,1.3908,0.0675,9.3842,0.0000,0.0000,0.0000
mad_communication,mad:training/269_4,uctRYVWEDFI,8.0000,raw,mono,1.1330,1.2771,0.8668,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/277_7,xg4G6XIkrw8,4.0000,gtcrn_pretrained,mono,2.7646,3.8710,2.4949,0.5506,27.8506,nan,nan,nan
mad_communication,mad:training/277_7,xg4G6XIkrw8,4.0000,r7,ref_dup,2.4955,3.6620,1.8768,1.0000,46.2698,0.8828,0.0717,0.0000
mad_communication,mad:training/277_7,xg4G6XIkrw8,4.0000,r7,ref_zero,2.2945,3.0732,1.8824,0.2978,13.8410,0.0000,0.0000,0.0000
mad_communication,mad:training/277_7,xg4G6XIkrw8,4.0000,raw,mono,2.7544,2.0366,1.9569,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/278_1,QvfBIagtg8M,8.0000,gtcrn_pretrained,mono,2.3082,3.8791,1.8394,0.3250,14.4007,nan,nan,nan
mad_communication,mad:training/278_1,QvfBIagtg8M,8.0000,r7,ref_dup,2.7910,4.0047,2.1815,0.9975,31.7026,0.9810,0.0080,0.0000
mad_communication,mad:training/278_1,QvfBIagtg8M,8.0000,r7,ref_zero,2.3510,2.6943,1.6014,0.0000,2.2890,0.0000,0.0000,0.0000
mad_communication,mad:training/278_1,QvfBIagtg8M,8.0000,raw,mono,2.0666,2.2435,1.2701,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/293_6,ZGhYiNTJUdc,7.0000,gtcrn_pretrained,mono,3.0868,3.8883,2.6503,0.3229,11.7204,nan,nan,nan
mad_communication,mad:training/293_6,ZGhYiNTJUdc,7.0000,r7,ref_dup,2.7172,3.8958,2.1358,0.9771,33.8971,0.7826,0.1093,0.0000
mad_communication,mad:training/293_6,ZGhYiNTJUdc,7.0000,r7,ref_zero,3.1914,3.4958,2.5837,0.0029,4.5162,0.0000,0.0000,0.0000
mad_communication,mad:training/293_6,ZGhYiNTJUdc,7.0000,raw,mono,3.2020,3.4002,2.5638,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/297_0,O1pwEykAc1w,4.0000,gtcrn_pretrained,mono,2.6898,4.0588,2.2096,0.3450,14.7098,nan,nan,nan
mad_communication,mad:training/297_0,O1pwEykAc1w,4.0000,r7,ref_dup,2.7629,3.9757,2.1802,1.0000,34.4577,1.0000,0.0000,0.0000
mad_communication,mad:training/297_0,O1pwEykAc1w,4.0000,r7,ref_zero,2.6430,3.3207,1.9797,0.0000,3.2674,0.0000,0.0000,0.0000
mad_communication,mad:training/297_0,O1pwEykAc1w,4.0000,raw,mono,2.5329,2.6944,1.8053,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/302_4,dO7fRwSnoBc,4.0000,gtcrn_pretrained,mono,3.1562,3.9376,2.8422,0.2050,10.0585,nan,nan,nan
mad_communication,mad:training/302_4,dO7fRwSnoBc,4.0000,r7,ref_dup,2.5009,3.3127,1.9030,1.0000,42.5845,1.0000,0.0000,0.0000
mad_communication,mad:training/302_4,dO7fRwSnoBc,4.0000,r7,ref_zero,3.3559,2.6737,2.3723,0.0650,6.0844,0.0000,0.0000,0.0000
mad_communication,mad:training/302_4,dO7fRwSnoBc,4.0000,raw,mono,2.2789,1.3902,1.4504,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/305_1,dspmzT5tBhM,3.0000,gtcrn_pretrained,mono,2.4723,3.4105,2.1225,0.2733,14.1411,nan,nan,nan
mad_communication,mad:training/305_1,dspmzT5tBhM,3.0000,r7,ref_dup,2.4879,3.6415,1.9143,1.0000,46.2306,0.7209,0.1429,0.0000
mad_communication,mad:training/305_1,dspmzT5tBhM,3.0000,r7,ref_zero,2.3468,3.4295,2.0380,0.2867,12.4801,0.0000,0.0000,0.0000
mad_communication,mad:training/305_1,dspmzT5tBhM,3.0000,raw,mono,1.2276,1.1938,1.1446,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/315_7,ztTY9hp9zqM,10.0000,gtcrn_pretrained,mono,3.4776,3.9886,3.1344,0.1020,5.7438,nan,nan,nan
mad_communication,mad:training/315_7,ztTY9hp9zqM,10.0000,r7,ref_dup,2.6191,3.7596,1.9968,1.0000,39.6561,0.4677,0.3147,0.0000
mad_communication,mad:training/315_7,ztTY9hp9zqM,10.0000,r7,ref_zero,3.4948,2.9839,2.6472,0.0174,2.3648,0.0000,0.0000,0.0000
mad_communication,mad:training/315_7,ztTY9hp9zqM,10.0000,raw,mono,3.5656,2.6872,2.5489,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/316_0,AE-Fh6acAtA,7.0000,gtcrn_pretrained,mono,2.3183,3.8896,1.9120,0.2457,12.3033,nan,nan,nan
mad_communication,mad:training/316_0,AE-Fh6acAtA,7.0000,r7,ref_dup,2.7266,3.8880,2.1570,1.0000,34.0765,0.8493,0.0774,0.0046
mad_communication,mad:training/316_0,AE-Fh6acAtA,7.0000,r7,ref_zero,2.6010,3.2853,1.9614,0.0057,3.9041,0.0000,0.0000,0.0000
mad_communication,mad:training/316_0,AE-Fh6acAtA,7.0000,raw,mono,2.2556,2.2057,1.7311,0.0000,0.0000,nan,nan,nan
