system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_23796048,9.356963157653809,8.85141372680664,0.8757675169830944,1.444126844406128,3.1415894860445035,3.361004598542067,2.5810732096723514,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0001,changing_-10,changing,-10.0,False,False,,,ls:87-121553-0085,10.435428619384766,10.04104995727539,0.8744148215399812,1.9296284914016724,3.190247047764963,3.7063406952221323,2.8118589261646907,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:4051-10927-0023,12.010660171508789,11.786449432373047,0.8823132745187063,1.9112342596054077,2.500096084164366,3.6431157434454366,2.2190411399108334,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:328-129766-0003,4.519384384155273,2.6408467292785645,0.8224531343952528,1.282976746559143,2.549081193926968,3.114732814424294,2.0613515810558996,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1926-147979-0020,6.791529178619385,5.792953968048096,0.8240170638057024,1.4352903366088867,2.446297186570866,3.6089895050815475,2.159564804851094,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0045,10.926849365234375,10.83452320098877,0.8871897733168979,2.3952739238739014,2.6987420532207267,3.8589058238237683,2.451960653772221,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0006,changing_-10,changing,-10.0,False,False,,,ls:4830-25904-0015,8.500577926635742,7.942113876342773,0.8371546154134636,2.019313335418701,2.2956335362811084,3.415859973300516,2.0204712701403618,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0007,changing_-10,changing,-10.0,False,False,,,ls:6147-34607-0019,14.646364212036133,14.89100456237793,0.8825444817260941,2.759974241256714,3.0841412511270345,3.9115013637063454,2.8013739655628696,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0089,4.574508190155029,2.7374842166900635,0.7886734132841585,1.55100679397583,2.2893266357780115,3.3492534298430163,1.985704967007659,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27749161,9.862526893615723,9.53016185760498,0.9089814179697567,2.052419424057007,2.989659117140446,3.9493455764914573,2.6494936577019796,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0010,changing_-10,changing,-10.0,False,True,,,ls:6272-70191-0025,7.804677486419678,7.068109512329102,0.8860942442606419,1.5611653327941895,2.560919600195077,3.7059183498638397,2.285721278328774,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0011,changing_-10,changing,-10.0,False,False,,,ls:7447-91186-0013,3.8320493698120117,1.5622485876083374,0.859952409784903,1.3653450012207031,2.5336869285034367,3.865859114604781,2.2942966335555175,nan,
ckpt:/workspace/SIH26052/results_r2/runs/vaani_full_r3_e32/best.pt,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359457,11.852398872375488,11.57731819152832,0.8896323719955425,1.9179637432098389,2.8057128299859238,3.95522217928184,2.5753351601354386,nan,
