system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
cascade:runs/r6_wham64_refiner/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_23796048,10.129985809326172,9.736437797546387,0.8973023034213151,1.497560739517212,3.264413003434636,3.403456490647714,2.7168309604033776,nan,
cascade:runs/r6_wham64_refiner/best.pt,0001,changing_-10,changing,-10.0,False,False,,,ls:87-121553-0085,8.264286041259766,7.636551856994629,0.867174003639733,1.3967454433441162,3.388698407457626,3.5183446923755066,2.92216578795192,nan,
cascade:runs/r6_wham64_refiner/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:4051-10927-0023,12.737377166748047,12.553777694702148,0.890152024253487,1.8782000541687012,2.66488835135087,3.56610428079192,2.3288382878249845,nan,
cascade:runs/r6_wham64_refiner/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:328-129766-0003,5.154695510864258,3.6388463973999023,0.8297382333172418,1.315244197845459,2.9187010791716363,3.0306055927934965,2.307606767767735,nan,
cascade:runs/r6_wham64_refiner/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1926-147979-0020,7.0680832862854,6.175025939941406,0.8071878753088373,1.383978247642517,2.311406309894232,3.3704326395015807,1.9977208949328513,nan,
cascade:runs/r6_wham64_refiner/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0045,11.525982856750488,11.632349014282227,0.8928248533471849,2.460632085800171,3.0308920491635174,3.950959253447545,2.7845525888989657,nan,
cascade:runs/r6_wham64_refiner/best.pt,0006,changing_-10,changing,-10.0,False,False,,,ls:4830-25904-0015,9.26235580444336,8.803853988647461,0.8279023271463535,2.002352476119995,2.394086243484435,3.1740958254864986,2.0221904987627775,nan,
cascade:runs/r6_wham64_refiner/best.pt,0007,changing_-10,changing,-10.0,False,False,,,ls:6147-34607-0019,16.150705337524414,16.565126419067383,0.9053435410489252,2.9500138759613037,3.2656795512066497,4.0203961953898615,3.00095715921132,nan,
cascade:runs/r6_wham64_refiner/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0089,5.113222599029541,3.530442476272583,0.7878660379613343,1.4162030220031738,2.058245396414804,3.223458678643296,1.793584882344184,nan,
cascade:runs/r6_wham64_refiner/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27749161,7.63193416595459,6.816469192504883,0.9427811923696809,2.2897346019744873,2.618418029767364,3.661211172816846,2.238547410466556,nan,
