id,bucket,variant,snr_out,stoi,pesq_wb
0000,changing_-10,as trained,12.381085395812988,0.9617453505700702,1.9879581928253174
0000,changing_-10,n_hat zeroed,12.337416648864746,0.961274123692988,2.031111001968384
0000,changing_-10,ref zeroed,-7.341170310974121,0.8106736850181508,1.0490806102752686
0000,changing_-10,coh zeroed,12.020675659179688,0.9601812328669183,2.021313428878784
0001,changing_-10,as trained,21.059606552124023,0.9903415468835524,3.6627674102783203
0001,changing_-10,n_hat zeroed,11.942976951599121,0.989966597366705,3.5177605152130127
0001,changing_-10,ref zeroed,15.893566131591797,0.9830531187392452,3.062730073928833
0001,changing_-10,coh zeroed,20.10479736328125,0.9900345134603695,3.548417329788208
0002,changing_-10,as trained,7.173459529876709,0.8524914472841296,1.3191578388214111
0002,changing_-10,n_hat zeroed,7.212416648864746,0.8524703150293488,1.3196141719818115
0002,changing_-10,ref zeroed,4.930155277252197,0.7603830247850644,1.2071298360824585
0002,changing_-10,coh zeroed,7.1234941482543945,0.8546890975283652,1.3241264820098877
0003,changing_-10,as trained,4.711302757263184,0.7949641463647963,1.4694103002548218
0003,changing_-10,n_hat zeroed,4.54193639755249,0.7926095146781283,1.4480791091918945
0003,changing_-10,ref zeroed,0.07506908476352692,0.6200670614534182,1.4218811988830566
0003,changing_-10,coh zeroed,4.608470916748047,0.7909769592532272,1.4624050855636597
0004,changing_-10,as trained,9.394510269165039,0.8658738587508055,1.7734357118606567
0004,changing_-10,n_hat zeroed,9.421987533569336,0.8664249133221628,1.7566449642181396
0004,changing_-10,ref zeroed,2.976219654083252,0.699351456385534,1.1547471284866333
0004,changing_-10,coh zeroed,9.214288711547852,0.8623762837400919,1.7104041576385498
0005,changing_-10,as trained,7.897878646850586,0.8488958094545284,1.7570204734802246
0005,changing_-10,n_hat zeroed,7.898728370666504,0.8428455604680847,1.7187095880508423
0005,changing_-10,ref zeroed,2.3820085525512695,0.5672975108534432,1.0807934999465942
0005,changing_-10,coh zeroed,7.721667766571045,0.8440157212529816,1.7296199798583984
0006,changing_-10,as trained,5.924930095672607,0.8448836555774429,1.4020460844039917
0006,changing_-10,n_hat zeroed,5.930233478546143,0.8446371589715432,1.404365062713623
0006,changing_-10,ref zeroed,0.6147282123565674,0.697663104305527,1.1350493431091309
0006,changing_-10,coh zeroed,5.875637531280518,0.8450253577226228,1.3821192979812622
0007,changing_-10,as trained,15.268383026123047,0.9662230280659332,2.0724031925201416
0007,changing_-10,n_hat zeroed,15.356579780578613,0.9667653998758058,2.079139232635498
0007,changing_-10,ref zeroed,-4.1901421546936035,0.8509930037804109,1.1469907760620117
0007,changing_-10,coh zeroed,15.119329452514648,0.9676550645929118,2.043466806411743
0008,changing_-10,as trained,5.808050155639648,0.7476377131337553,1.235535740852356
0008,changing_-10,n_hat zeroed,5.768552780151367,0.7476078414333329,1.234762191772461
0008,changing_-10,ref zeroed,0.8191024661064148,0.5588260186783361,1.0927834510803223
0008,changing_-10,coh zeroed,5.766872882843018,0.748022477826294,1.2252875566482544
0009,changing_-10,as trained,4.840595245361328,0.7028999723433721,1.261405348777771
0009,changing_-10,n_hat zeroed,4.922591209411621,0.7020416068623766,1.266553521156311
0009,changing_-10,ref zeroed,-11.113882064819336,0.506537663155878,1.066860556602478
0009,changing_-10,coh zeroed,4.738887786865234,0.7020754375061762,1.257285475730896
0010,changing_-10,as trained,5.266210556030273,0.8840890127031741,1.4861023426055908
0010,changing_-10,n_hat zeroed,4.107552528381348,0.8773246734170032,1.3223193883895874
0010,changing_-10,ref zeroed,6.02967643737793,0.8494370945086348,1.423020362854004
0010,changing_-10,coh zeroed,7.380983352661133,0.8814507380260402,2.4160373210906982
0011,changing_-10,as trained,12.19924545288086,0.8995961798116724,1.6997981071472168
0011,changing_-10,n_hat zeroed,12.070350646972656,0.9011645927053613,1.6696934700012207
0011,changing_-10,ref zeroed,-14.800609588623047,0.738953968622358,1.2472723722457886
0011,changing_-10,coh zeroed,12.1400785446167,0.8985662082200021,1.6555781364440918
0012,changing_-10,as trained,15.5582914352417,0.9694303055390878,3.535282850265503
0012,changing_-10,n_hat zeroed,15.293498039245605,0.9690650400527865,3.5046660900115967
0012,changing_-10,ref zeroed,8.812299728393555,0.9257026131578924,2.0643229484558105
0012,changing_-10,coh zeroed,15.380269050598145,0.9682098920706744,3.3352184295654297
0013,changing_-10,as trained,14.865927696228027,0.830394880970656,2.2193453311920166
0013,changing_-10,n_hat zeroed,14.865945816040039,0.8303926835316238,2.2193281650543213
0013,changing_-10,ref zeroed,2.698981285095215,0.6506300087792011,1.163605809211731
0013,changing_-10,coh zeroed,15.68825626373291,0.8318721265556238,2.2312724590301514
0014,changing_-10,as trained,13.810598373413086,0.970706641671222,2.5589935779571533
0014,changing_-10,n_hat zeroed,14.431611061096191,0.9733091384921551,2.643472909927368
0014,changing_-10,ref zeroed,3.0852224826812744,0.8461174402943036,1.134801983833313
0014,changing_-10,coh zeroed,13.818160057067871,0.9703131190878737,2.642035961151123
0015,changing_-10,as trained,10.740507125854492,0.9116942767276991,1.318932294845581
0015,changing_-10,n_hat zeroed,10.674737930297852,0.9079507158902372,1.2991764545440674
0015,changing_-10,ref zeroed,-0.3269461989402771,0.7033828723535512,1.0597988367080688
0015,changing_-10,coh zeroed,10.01466178894043,0.8981432737275817,1.203818678855896
0016,changing_-10,as trained,13.388175964355469,0.9638335116807737,2.1606285572052
0016,changing_-10,n_hat zeroed,12.976444244384766,0.9622984937327124,2.1354408264160156
0016,changing_-10,ref zeroed,-1.0033612251281738,0.8167314831137709,1.617750644683838
0016,changing_-10,coh zeroed,13.811101913452148,0.9663676708483268,1.9305229187011719
0017,changing_-10,as trained,9.918511390686035,0.8626258890023109,1.4036535024642944
0017,changing_-10,n_hat zeroed,9.951043128967285,0.8632739682091645,1.4028360843658447
0017,changing_-10,ref zeroed,2.2766504287719727,0.6839990222755966,1.0636764764785767
0017,changing_-10,coh zeroed,9.87751579284668,0.8653899172309225,1.371182918548584
0018,changing_-10,as trained,9.895783424377441,0.7140198129794212,1.2581353187561035
0018,changing_-10,n_hat zeroed,9.924064636230469,0.7152058051714283,1.259687900543213
0018,changing_-10,ref zeroed,3.3652637004852295,0.48119948921922323,1.0575590133666992
0018,changing_-10,coh zeroed,9.594038963317871,0.716431626760026,1.2516411542892456
0019,changing_-10,as trained,8.08047103881836,0.8124512767360926,1.662149429321289
0019,changing_-10,n_hat zeroed,8.056681632995605,0.8122854347589702,1.6638211011886597
0019,changing_-10,ref zeroed,-11.979654312133789,0.6016245085076585,1.2296538352966309
0019,changing_-10,coh zeroed,8.009522438049316,0.805782673187938,1.6367847919464111
0020,changing_-10,as trained,8.057269096374512,0.8552287166652364,1.6153653860092163
0020,changing_-10,n_hat zeroed,8.044071197509766,0.8560148260795161,1.60113525390625
0020,changing_-10,ref zeroed,-4.565303802490234,0.6352223297627192,1.188551425933838
0020,changing_-10,coh zeroed,7.995384216308594,0.8524621480972859,1.605239987373352
0021,changing_-10,as trained,6.110268592834473,0.7395319459911947,1.1238731145858765
0021,changing_-10,n_hat zeroed,6.098753929138184,0.7391579059447824,1.1239076852798462
0021,changing_-10,ref zeroed,3.858675003051758,0.6038994828200657,1.0435247421264648
0021,changing_-10,coh zeroed,6.057898998260498,0.7363598026961639,1.1243267059326172
0022,changing_-10,as trained,9.16101360321045,0.838705200189558,1.6588819026947021
0022,changing_-10,n_hat zeroed,9.155437469482422,0.8376992264506442,1.6399316787719727
0022,changing_-10,ref zeroed,1.7784451246261597,0.5574675770381232,1.1009557247161865
0022,changing_-10,coh zeroed,9.078987121582031,0.8391785295774337,1.5620579719543457
0023,changing_-10,as trained,13.213422775268555,0.7971496462670301,1.5781183242797852
0023,changing_-10,n_hat zeroed,13.249034881591797,0.7974639033500965,1.5760248899459839
0023,changing_-10,ref zeroed,-7.716098785400391,0.6495950610695042,1.0319119691848755
0023,changing_-10,coh zeroed,13.230306625366211,0.7970652493992337,1.5846267938613892
0024,changing_-10,as trained,19.60944938659668,0.8900513339451626,1.7369660139083862
0024,changing_-10,n_hat zeroed,19.598039627075195,0.8893461244566805,1.735065221786499
0024,changing_-10,ref zeroed,1.8145570755004883,0.8021190054018422,1.289793610572815
0024,changing_-10,coh zeroed,17.209762573242188,0.8510127391058065,1.5668836832046509
0025,changing_-10,as trained,7.117611885070801,0.7720043170089858,1.4955060482025146
0025,changing_-10,n_hat zeroed,7.21796989440918,0.7765188954912785,1.5354872941970825
0025,changing_-10,ref zeroed,-15.026212692260742,0.35410302111273506,1.0621247291564941
0025,changing_-10,coh zeroed,6.837183952331543,0.766471218887817,1.4937236309051514
0026,changing_-10,as trained,14.925539016723633,0.9766002462171939,3.17618989944458
0026,changing_-10,n_hat zeroed,14.900139808654785,0.976107263243977,3.1575610637664795
0026,changing_-10,ref zeroed,9.563211441040039,0.9480042761716809,2.106842279434204
0026,changing_-10,coh zeroed,14.476066589355469,0.9742296835155186,2.8090548515319824
0027,changing_-10,as trained,4.122623443603516,0.7094931009442901,1.1423720121383667
0027,changing_-10,n_hat zeroed,4.115019798278809,0.712223347817162,1.1441301107406616
0027,changing_-10,ref zeroed,-3.003157138824463,0.4041034192346528,1.0398106575012207
0027,changing_-10,coh zeroed,3.9251556396484375,0.7014138028730287,1.1375799179077148
0028,changing_-10,as trained,13.460101127624512,0.8557128359533674,1.6326252222061157
0028,changing_-10,n_hat zeroed,13.265963554382324,0.8495982245752209,1.6021318435668945
0028,changing_-10,ref zeroed,0.5234546065330505,0.6763412043299645,1.0663803815841675
0028,changing_-10,coh zeroed,13.503479957580566,0.8552771382363374,1.6561040878295898
0029,changing_-10,as trained,5.957489967346191,0.7629356757410497,1.2926735877990723
0029,changing_-10,n_hat zeroed,6.001921653747559,0.7659535351910776,1.296712875366211
0029,changing_-10,ref zeroed,-5.401124477386475,0.5430896033064531,1.1062589883804321
0029,changing_-10,coh zeroed,5.842502593994141,0.7615194979297061,1.2785160541534424
0030,changing_-10,as trained,6.006755352020264,0.7680613624160733,1.2865983247756958
0030,changing_-10,n_hat zeroed,6.006662368774414,0.7685258091241622,1.2864720821380615
0030,changing_-10,ref zeroed,2.55637264251709,0.627476774417453,1.0677876472473145
0030,changing_-10,coh zeroed,5.988861083984375,0.7690593616313465,1.2908235788345337
0031,changing_-10,as trained,3.8243987560272217,0.7793716730199625,1.3679966926574707
0031,changing_-10,n_hat zeroed,3.722005844116211,0.7780548068942358,1.2715080976486206
0031,changing_-10,ref zeroed,2.2740254402160645,0.7146903841387398,1.1455811262130737
0031,changing_-10,coh zeroed,3.9253759384155273,0.7816531622291055,1.3398898839950562
0032,changing_-10,as trained,9.770695686340332,0.8786495072333383,1.6319539546966553
0032,changing_-10,n_hat zeroed,9.633472442626953,0.8723404592996535,1.6167762279510498
0032,changing_-10,ref zeroed,-0.8412849307060242,0.6528676501566768,1.1130131483078003
0032,changing_-10,coh zeroed,9.647924423217773,0.8774453505860146,1.6065610647201538
0033,changing_-10,as trained,5.671195030212402,0.7160395745382052,1.3096754550933838
0033,changing_-10,n_hat zeroed,5.7340216636657715,0.7177436648313278,1.3148605823516846
0033,changing_-10,ref zeroed,-10.763795852661133,0.5493599514035619,1.079292893409729
0033,changing_-10,coh zeroed,5.587716579437256,0.7190338124540949,1.2991127967834473
0034,changing_-10,as trained,19.27381706237793,0.9938866541535576,3.424281120300293
0034,changing_-10,n_hat zeroed,19.382526397705078,0.9939700355664097,3.370433807373047
0034,changing_-10,ref zeroed,10.677189826965332,0.9766287235739487,2.713453531265259
0034,changing_-10,coh zeroed,19.053800582885742,0.9939869281505405,3.3681480884552
0035,changing_-10,as trained,14.452085494995117,0.9411197588451348,2.3120551109313965
0035,changing_-10,n_hat zeroed,14.504806518554688,0.9410167824613339,2.3230175971984863
0035,changing_-10,ref zeroed,11.724549293518066,0.8988317548780196,1.5904457569122314
0035,changing_-10,coh zeroed,14.400093078613281,0.9410083614293853,2.3284366130828857
0036,changing_-10,as trained,6.037153244018555,0.8303477887380555,1.2507394552230835
0036,changing_-10,n_hat zeroed,5.832316875457764,0.8284812663984101,1.2438700199127197
0036,changing_-10,ref zeroed,-1.9624649286270142,0.7403201861340407,1.0681986808776855
0036,changing_-10,coh zeroed,6.033420085906982,0.8269378697138271,1.262012243270874
0037,changing_-10,as trained,6.3758392333984375,0.7847968866325984,1.3823388814926147
0037,changing_-10,n_hat zeroed,6.324687957763672,0.7863771147314755,1.3745875358581543
0037,changing_-10,ref zeroed,-0.7594503164291382,0.5794796109602339,1.0910544395446777
0037,changing_-10,coh zeroed,6.1507697105407715,0.7763536945294616,1.3567731380462646
0038,changing_-10,as trained,8.586614608764648,0.7618065043393764,1.4724637269973755
0038,changing_-10,n_hat zeroed,8.667038917541504,0.7617517210188327,1.4759284257888794
0038,changing_-10,ref zeroed,-0.543316662311554,0.32873284183554086,1.087392807006836
0038,changing_-10,coh zeroed,8.33453369140625,0.7537803684971861,1.4712275266647339
0039,changing_-10,as trained,7.504364013671875,0.8358938419661468,1.2646994590759277
0039,changing_-10,n_hat zeroed,7.4753594398498535,0.834791136898976,1.264083981513977
0039,changing_-10,ref zeroed,2.4866394996643066,0.7404400427741077,1.0885624885559082
0039,changing_-10,coh zeroed,7.477565288543701,0.8362856752883971,1.2553013563156128
0000,changing_-5,as trained,10.619464874267578,0.9172482045837446,2.012678623199463
