id,bucket,variant,snr_out,stoi,pesq_wb
0000,changing_-10,as trained,11.33587646484375,0.9512563822878668,1.7757309675216677
0000,changing_-10,n_hat zeroed,11.16054630279541,0.950356406154515,1.7866522073745728
0000,changing_-10,ref zeroed,-6.963101387023926,0.805683317477026,1.047904372215271
0000,changing_-10,coh zeroed,11.051949501037598,0.9487222883544216,1.765167236328125
0001,changing_-10,as trained,21.151798248291016,0.9896036590428746,3.668190479278565
0001,changing_-10,n_hat zeroed,14.055015563964844,0.9892608237811376,3.506099939346313
0001,changing_-10,ref zeroed,15.9375,0.9795759444921938,3.002246141433716
0001,changing_-10,coh zeroed,20.134735107421875,0.9891664589635054,3.488366842269897
0002,changing_-10,as trained,6.94474983215332,0.841743973995438,1.3084795475006104
0002,changing_-10,n_hat zeroed,6.975460052490234,0.8414484540919711,1.3076512813568115
0002,changing_-10,ref zeroed,5.087459087371826,0.7588128064024404,1.2368680238723757
0002,changing_-10,coh zeroed,6.8784589767456055,0.8443944217578288,1.316941499710083
0003,changing_-10,as trained,4.488139629364014,0.7884681984408108,1.421173334121704
0003,changing_-10,n_hat zeroed,4.270323753356934,0.7854470721478258,1.410732984542847
0003,changing_-10,ref zeroed,0.4303522706031799,0.6209612598794474,1.165971040725708
0003,changing_-10,coh zeroed,4.358211517333984,0.7846883032000479,1.4121153354644775
0004,changing_-10,as trained,8.654054641723633,0.8566001212403388,1.7257390022277832
0004,changing_-10,n_hat zeroed,8.684395790100098,0.8574397536538774,1.7246670722961426
0004,changing_-10,ref zeroed,3.000332355499268,0.6983306371593375,1.1557971239089966
0004,changing_-10,coh zeroed,8.504737854003906,0.8523683047637648,1.6744234561920166
0005,changing_-10,as trained,6.92733097076416,0.8259974444214486,1.4618570804595947
0005,changing_-10,n_hat zeroed,6.915444850921631,0.8209109562035976,1.4284573793411257
0005,changing_-10,ref zeroed,2.594062805175781,0.5696211262340477,1.0848205089569092
0005,changing_-10,coh zeroed,6.788701057434082,0.8190456935048523,1.4512405395507812
0006,changing_-10,as trained,5.747452735900879,0.8444591155857828,1.3742655515670776
0006,changing_-10,n_hat zeroed,5.757789611816406,0.8439645383097281,1.372369408607483
0006,changing_-10,ref zeroed,1.3934141397476196,0.6967244597824308,1.1365872621536257
0006,changing_-10,coh zeroed,5.683601379394531,0.8447846229594955,1.3594303131103516
0007,changing_-10,as trained,13.865026473999023,0.9569044285483064,1.8897840976715088
0007,changing_-10,n_hat zeroed,13.918274879455566,0.9575048126301244,1.8971375226974487
0007,changing_-10,ref zeroed,-3.279648303985596,0.8510003484963259,1.1464745998382568
0007,changing_-10,coh zeroed,13.663607597351074,0.9541837560330452,1.909166932106018
0008,changing_-10,as trained,5.56975793838501,0.7447940120838816,1.204171657562256
0008,changing_-10,n_hat zeroed,5.536218166351318,0.7452521448865602,1.203824758529663
0008,changing_-10,ref zeroed,1.3862134218215942,0.5651610911937215,1.0946964025497437
0008,changing_-10,coh zeroed,5.518176078796387,0.745273142711737,1.1942273378372192
