id,bucket,mask_phase_deg,model_snr,model_stoi,model_pesq,oph_snr,oph_stoi,oph_pesq,omag_snr,omag_stoi,omag_pesq
0000,changing_-10,38.986392974853516,12.381085395812988,0.9617453505700702,1.9879581928253174,13.873273849487305,0.9698698817858564,2.4441168308258057,15.826705932617188,0.9923020902069588,3.6439106464385986
0001,changing_-10,8.933773040771484,21.059606552124023,0.9903415468835524,3.6627674102783203,25.4995059967041,0.9949866400631505,3.930205821990967,31.0512638092041,0.996495468488443,4.432441234588623
0002,changing_-10,19.021028518676758,7.173459529876709,0.8524914472841296,1.3191578388214111,8.235776901245117,0.8849595170900102,1.426105260848999,9.643373489379883,0.9766439031732868,3.4732818603515625
0003,changing_-10,19.095232009887695,4.711302757263184,0.7949641463647963,1.4694103002548218,6.61574125289917,0.838887170112695,1.6084797382354736,7.866613864898682,0.9696779241911678,3.510810136795044
0004,changing_-10,17.552621841430664,9.394510269165039,0.8658738587508055,1.7734357118606567,10.478110313415527,0.8987924906976672,1.9281537532806396,13.014260292053223,0.9690532646357128,3.8138890266418457
0005,changing_-10,32.269500732421875,7.897878646850586,0.8488958094545284,1.7570204734802246,9.046112060546875,0.886785406863423,2.000138282775879,10.708913803100586,0.9588288848778109,3.7361323833465576
0006,changing_-10,27.828927993774414,5.924930095672607,0.8448836555774429,1.4020460844039917,7.8975114822387695,0.8793453618135366,1.508177399635315,8.10190486907959,0.9683703653120072,3.6715521812438965
0007,changing_-10,35.427738189697266,15.268383026123047,0.9662230280659332,2.0724031925201416,16.497419357299805,0.9734641299095536,2.243532419204712,19.56972312927246,0.9945400608710907,4.2436981201171875
0008,changing_-10,24.95940589904785,5.808050155639648,0.7476377131337553,1.235535740852356,7.325375080108643,0.7801447645929006,1.3422605991363525,7.592445373535156,0.9690151988954016,3.1881608963012695
0009,changing_-10,22.3979434967041,4.840595245361328,0.7028999723433721,1.261405348777771,6.275321960449219,0.7471596131257124,1.405479907989502,9.530773162841797,0.9435608563011764,3.020688772201538
0010,changing_-10,6.7051262855529785,5.266210556030273,0.8840890127031741,1.4861023426055908,7.255917549133301,0.9031377669512005,2.140537738800049,8.129057884216309,0.9707070442218317,3.2600998878479004
0011,changing_-10,62.58335494995117,12.19924545288086,0.8995961798116724,1.6997981071472168,14.935636520385742,0.9284603483500035,2.141122579574585,15.69587230682373,0.9774674462779702,3.1879286766052246
0012,changing_-10,5.588624477386475,15.5582914352417,0.9694303055390878,3.535282850265503,17.62013816833496,0.9783454483712758,3.829293966293335,20.06560516357422,0.9909193365713246,4.3335862159729
0013,changing_-10,25.195993423461914,14.865927696228027,0.830394880970656,2.2193453311920166,16.860225677490234,0.8603336775714119,2.4552931785583496,23.40285301208496,0.9804341627141653,4.1535725593566895
0014,changing_-10,22.10232925415039,13.810598373413086,0.970706641671222,2.5589935779571533,14.541471481323242,0.9754982630688951,2.731461763381958,20.081153869628906,0.997004780300757,4.319358825683594
0015,changing_-10,22.228307723999023,10.740507125854492,0.9116942767276991,1.318932294845581,12.117204666137695,0.9238501768206141,1.4251136779785156,14.79559326171875,0.9912774060596397,3.673011302947998
0016,changing_-10,23.086328506469727,13.388175964355469,0.9638335116807737,2.1606285572052,15.471587181091309,0.9709883876213884,2.1517398357391357,15.999845504760742,0.995818773634449,3.9980907440185547
0017,changing_-10,39.96553039550781,9.918511390686035,0.8626258890023109,1.4036535024642944,11.670282363891602,0.8875757716246732,1.5285916328430176,12.56965446472168,0.9787352173190237,4.098985195159912
0018,changing_-10,61.19084930419922,9.895783424377441,0.7140198129794212,1.2581353187561035,11.36060619354248,0.7624219252205121,1.353912115097046,14.624346733093262,0.9318637819119212,2.9645917415618896
0019,changing_-10,24.65713882446289,8.08047103881836,0.8124512767360926,1.662149429321289,10.58768367767334,0.851885115416196,1.9800680875778198,10.509673118591309,0.9713741487767267,3.527193784713745
0020,changing_-10,15.299182891845703,8.057269096374512,0.8552287166652364,1.6153653860092163,9.06439208984375,0.870569979184084,1.8125569820404053,11.224023818969727,0.9815134745455981,3.68164324760437
0021,changing_-10,20.756603240966797,6.110268592834473,0.7395319459911947,1.1238731145858765,7.30631160736084,0.7643075247087369,1.1767094135284424,8.0457763671875,0.9645734803032402,2.3307607173919678
0022,changing_-10,54.70000457763672,9.16101360321045,0.838705200189558,1.6588819026947021,10.131349563598633,0.8677804028613934,1.9511570930480957,13.322149276733398,0.9816059716353283,3.9213099479675293
0023,changing_-10,27.059188842773438,13.213422775268555,0.7971496462670301,1.5781183242797852,14.44791316986084,0.837034908825194,1.7558245658874512,15.583773612976074,0.9708098054461506,3.720764636993408
0024,changing_-10,77.87932586669922,19.60944938659668,0.8900513339451626,1.7369660139083862,21.03285026550293,0.9040985947613389,1.8525786399841309,27.072668075561523,0.9871374087998219,4.258864402770996
0025,changing_-10,66.27268981933594,7.117611885070801,0.7720043170089858,1.4955060482025146,8.861396789550781,0.8139446260742569,1.9625847339630127,11.645992279052734,0.9591521770305754,3.248936653137207
0026,changing_-10,5.866481304168701,14.925539016723633,0.9766002462171939,3.17618989944458,15.689535140991211,0.9788079255524946,3.4259018898010254,18.378623962402344,0.996435076050153,4.288734436035156
0027,changing_-10,27.67157554626465,4.122623443603516,0.7094931009442901,1.1423720121383667,5.186249732971191,0.7630484867397174,1.239288091659546,6.138538837432861,0.9457604216987334,2.8722176551818848
0028,changing_-10,42.90334701538086,13.460101127624512,0.8557128359533674,1.6326252222061157,14.993892669677734,0.8740349828608335,1.8517597913742065,16.035734176635742,0.9849238642892685,4.257209777832031
0029,changing_-10,29.632740020751953,5.957489967346191,0.7629356757410497,1.2926735877990723,7.3755784034729,0.7913131809454804,1.4206031560897827,7.995944023132324,0.9632278121868961,3.13484525680542
0030,changing_-10,23.650754928588867,6.006755352020264,0.7680613624160733,1.2865983247756958,6.744381904602051,0.8039084080168085,1.3451734781265259,8.849486351013184,0.9712529564423108,3.304513692855835
0031,changing_-10,16.692873001098633,3.8243987560272217,0.7793716730199625,1.3679966926574707,5.320119380950928,0.8157377631558012,1.577911376953125,6.3751983642578125,0.9452479028085286,2.7431774139404297
0032,changing_-10,34.78107452392578,9.770695686340332,0.8786495072333383,1.6319539546966553,12.359996795654297,0.9088250228868366,1.8614256381988525,12.55765438079834,0.9729100139658953,3.888319730758667
0033,changing_-10,21.64362335205078,5.671195030212402,0.7160395745382052,1.3096754550933838,7.064761638641357,0.7653492019515988,1.4632407426834106,8.860283851623535,0.9361476890601707,3.320305585861206
0034,changing_-10,5.698356628417969,19.27381706237793,0.9938866541535576,3.424281120300293,20.77079963684082,0.9968489352200847,3.741194486618042,24.959110260009766,0.9975271273204116,4.262567043304443
0035,changing_-10,16.717010498046875,14.452085494995117,0.9411197588451348,2.3120551109313965,16.408832550048828,0.9544459290963718,2.6507761478424072,19.065195083618164,0.986760151827031,3.8983826637268066
0036,changing_-10,19.437097549438477,6.037153244018555,0.8303477887380555,1.2507394552230835,8.176358222961426,0.8564062048896075,1.3953065872192383,9.697294235229492,0.9753369194988255,3.2633249759674072
