i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
139,5150:139,drone,low_ild,pos,no,-6..+3,-5.3934336728517,23.841602325439453,False,14994,2419,0.27042701840400696
140,5150:140,command_post,physical,pos,no,physical,-12.294671324487815,12.49548053741455,False,8965,5604,0.9280360341072083
141,5150:141,command_post,mono,pos,no,-6..+3,0.0,6.644558429718018,False,6748,27512,0.4999999701976776
142,5150:142,patrol,physical,pos,yes,physical,-11.359632047714356,17.417217254638672,False,15362,9054,0.8929429650306702
143,5150:143,firefight,low_ild,neg,no,-6..+3,-2.989532135702529,18.247568130493164,True,8587,3157,0.9005180597305298
144,5150:144,command_post,low_ild,neg,no,-6..+3,-4.176721649629158,16.96373176574707,False,13597,5468,0.9773804545402527
145,5150:145,drone,physical,pos,yes,physical,-8.88723819909901,24.281005859375,False,9653,5093,0.9157457947731018
146,5150:146,windy_ridge,low_ild,pos,yes,-6..+3,-4.58354165041645,6.137866020202637,False,17678,7364,0.6829784512519836
147,5150:147,firefight,low_ild,pos,no,-6..+3,-3.1903584637836033,3.8193397521972656,True,5900,31845,0.33287420868873596
148,5150:148,apc,low_ild,pos,no,-6..+3,-4.634366029834794,-19.435657501220703,True,84,63174,0.41659921407699585
149,5150:149,firefight,low_ild,pos,no,-6..+3,1.2036076270777798,5.813031196594238,False,4047,62653,0.12348340451717377
150,5150:150,drone,physical,pos,no,physical,-8.819905896644578,20.48011589050293,False,34792,3143,0.9692631363868713
151,5150:151,patrol,physical,pos,no,physical,-17.14437579517962,21.998958587646484,False,16794,1719,0.9600736498832703
152,5150:152,firefight,mono,pos,no,-6..+3,0.0,21.684085845947266,True,23705,3648,0.5
153,5150:153,patrol,mono,pos,no,-6..+3,0.0,11.067276954650879,False,11132,7242,0.4999999403953552
154,5150:154,firefight,physical,pos,yes,physical,-13.951093980044465,22.698932647705078,True,32145,2853,0.7743101716041565
155,5150:155,apc,physical,neg,no,physical,-15.60068668215176,-2.9303834438323975,True,742,77758,0.9147543907165527
156,5150:156,firefight,low_ild,pos,no,-6..+3,-5.450429895309039,14.474302291870117,False,27571,11843,0.6412608623504639
157,5150:157,windy_ridge,low_ild,none,yes,-6..+3,-0.544342335734278,9.271462440490723,False,4322,6023,0.46007561683654785
158,5150:158,patrol,low_ild,pos,yes,-6..+3,-3.078425353635261,7.217864036560059,False,23722,7081,0.2920456528663635
159,5150:159,artillery,low_ild,pos,yes,-6..+3,0.1695011715527741,12.698919296264648,False,8449,10323,0.1440710425376892
160,5150:160,patrol,mono,pos,no,-6..+3,0.0,24.72480010986328,False,17444,1947,0.4999998211860657
161,5150:161,windy_ridge,physical,pos,yes,physical,-15.816129230903481,11.085309982299805,False,11264,3503,0.8914806246757507
162,5150:162,helicopter,physical,pos,yes,physical,-8.648030743563638,-10.189108848571777,True,1156,50733,0.6900709867477417
163,5150:163,command_post,mono,pos,no,-6..+3,0.0,9.244064331054688,False,4756,29350,0.5
164,5150:164,apc,physical,pos,no,physical,-16.59394650389803,-10.065003395080566,True,1791,56485,0.8736100792884827
165,5150:165,command_post,physical,pos,no,physical,-14.603608254395773,14.151939392089844,False,4857,13843,0.8793327808380127
166,5150:166,windy_ridge,physical,pos,yes,physical,-9.469086906724367,0.5419856905937195,False,13679,8767,0.7850567698478699
167,5150:167,patrol,mono,pos,no,-6..+3,0.0,27.18582534790039,False,12729,2212,0.4999999403953552
168,5150:168,firefight,physical,neg,no,physical,-16.376725292119534,21.37791633605957,True,29735,3093,0.7381439805030823
169,5150:169,firefight,physical,pos,yes,physical,-15.681551781818609,16.34309959411621,True,13787,18402,0.8848053812980652
170,5150:170,helicopter,low_ild,pos,yes,-6..+3,-4.577178423399971,-10.904746055603027,True,1249,40445,0.47732675075531006
171,5150:171,artillery,low_ild,pos,no,-6..+3,-3.1650903736064464,9.70161247253418,False,17887,4736,0.324994832277298
172,5150:172,artillery,physical,pos,no,physical,-16.27413005555581,28.567989349365234,True,28321,1256,0.8093186616897583
173,5150:173,patrol,physical,pos,no,physical,-15.594202424412032,11.020230293273926,False,10982,17049,0.8617993593215942
174,5150:174,drone,low_ild,pos,no,-6..+3,-4.000003600149185,13.616691589355469,False,5978,23502,0.889620840549469
175,5150:175,patrol,low_ild,none,no,-6..+3,1.8604127255329885,32.578548431396484,False,17057,1014,0.5794175267219543
176,5150:176,patrol,physical,pos,no,physical,-11.9034866344738,1.1048264503479004,False,12242,14846,0.871963381767273
177,5150:177,drone,physical,pos,no,physical,-9.537187363007504,17.534229278564453,False,9052,7245,0.986143171787262
178,5150:178,command_post,low_ild,pos,no,-6..+3,-5.336164764030684,0.7553488612174988,False,3925,57899,0.9623810052871704
179,5150:179,apc,physical,pos,no,physical,-10.112538051737669,-9.822064399719238,True,555,86288,0.5241367816925049
