system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s
gf0.85_nb1.0,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24758653,10.473562240600586,10.090995788574219,0.9396349132743839,1.6506966352462769,nan
gf0.85_nb1.0,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510980,21.853538513183594,21.986480712890625,0.986880766179592,3.619891405105591,nan
gf0.85_nb1.0,0002,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26687145,6.609834671020508,5.618174076080322,0.8263803071182032,1.2902557849884033,nan
gf0.85_nb1.0,0003,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27383943,5.001626014709473,3.360830545425415,0.7817013825287584,1.4060142040252686,nan
gf0.85_nb1.0,0004,changing_-10,changing,-10.0,False,False,,,ls:150-126107-0028,8.116104125976562,7.798871040344238,0.8329391216286194,1.6547625064849854,nan
gf0.85_nb1.0,0005,changing_-10,changing,-10.0,True,False,,,ls:150-132655-0028,6.075048923492432,4.905724048614502,0.774814241225851,1.3172621726989746,nan
gf0.85_nb1.0,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25948419,5.887351989746094,4.662971019744873,0.8261607764839858,1.4170632362365723,nan
gf0.85_nb1.0,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007582,13.307785034179688,13.571388244628906,0.9478112481982666,1.9053353071212769,nan
gf0.85_nb1.0,0008,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0025,5.536342620849609,4.159610748291016,0.7253083740058441,1.2098978757858276,nan
gf0.85_nb1.0,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_24782656,3.6107988357543945,1.2253187894821167,0.6634329107691014,1.196217656135559,nan
gf0.85_nb1.0,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27005244,7.126638412475586,6.191396236419678,0.8798100172354643,2.2603678703308105,nan
gf0.85_nb1.0,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386849,9.53678035736084,9.145448684692383,0.8333363904184165,1.644018530845642,nan
gf0.85_nb1.0,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24228493,11.962837219238281,11.908803939819336,0.9514649035728779,2.878040075302124,nan
gf0.85_nb1.0,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26008620,14.113492012023926,14.745523452758789,0.8348253081498099,2.0047547817230225,nan
gf0.85_nb1.0,0014,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0021,14.253339767456055,14.67816162109375,0.9671740244962457,2.526399612426758,nan
gf0.85_nb1.0,0015,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005397,9.827692031860352,9.362628936767578,0.8963003488952932,1.293763518333435,nan
gf0.85_nb1.0,0016,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24759380,12.759632110595703,12.524984359741211,0.9524534697818365,2.0072906017303467,nan
gf0.85_nb1.0,0017,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27149958,8.369282722473145,7.78697395324707,0.8433047462329817,1.4081674814224243,nan
gf0.85_nb1.0,0018,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25180517,7.763915538787842,6.9697723388671875,0.6765571172414373,1.2527397871017456,nan
gf0.85_nb1.0,0019,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24759304,7.569609642028809,6.751852512359619,0.7804037895001507,1.6677467823028564,nan
gf0.85_nb1.0,0020,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007743,7.55632209777832,7.00629997253418,0.8421505037939925,1.5186429023742676,nan
gf0.85_nb1.0,0021,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27005461,5.6099534034729,4.2224860191345215,0.7091001052923189,1.1225074529647827,nan
gf0.85_nb1.0,0022,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24258355,7.7066426277160645,7.32379150390625,0.7885400627722043,1.2924234867095947,nan
gf0.85_nb1.0,0023,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386565,12.845879554748535,12.967599868774414,0.7726701350723562,1.440824270248413,nan
gf0.85_nb1.0,0024,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25154335,16.001367568969727,16.18506622314453,0.8371296965611634,1.416161060333252,nan
gf0.85_nb1.0,0025,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25473109,3.792210817337036,1.4576079845428467,0.6560202323986478,1.2460596561431885,nan
gf0.85_nb1.0,0026,changing_-10,changing,-10.0,False,False,,,ls:1263-138246-0015,13.290814399719238,13.299188613891602,0.9665416990901319,2.6539275646209717,nan
gf0.85_nb1.0,0027,changing_-10,changing,-10.0,False,False,,,ls:1898-145720-0001,3.7404088973999023,1.3667291402816772,0.6903641718553122,1.1403942108154297,nan
gf0.85_nb1.0,0028,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_24782650,11.745645523071289,11.623016357421875,0.8324829600766274,1.7488412857055664,nan
gf0.85_nb1.0,0029,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007863,4.992600440979004,3.3392276763916016,0.7281213791816358,1.2205067873001099,nan
gf0.85_nb1.0,0030,changing_-10,changing,-10.0,False,False,,,ls:1263-138246-0021,6.11388635635376,5.154057502746582,0.7972000540895328,1.319645643234253,nan
gf0.85_nb1.0,0031,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005577,3.6332030296325684,1.1717352867126465,0.7454042107245801,1.2356849908828735,nan
gf0.85_nb1.0,0032,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26967982,8.376355171203613,7.750093936920166,0.8010260380106553,1.3854132890701294,nan
gf0.85_nb1.0,0033,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25154411,4.786111831665039,3.0336904525756836,0.6900657455782946,1.2500139474868774,nan
gf0.85_nb1.0,0034,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005346,14.615781784057617,16.65453338623047,0.987913444566226,3.0834622383117676,nan
gf0.85_nb1.0,0035,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510981,13.001886367797852,13.405315399169922,0.9269895138989751,2.144657850265503,nan
gf0.85_nb1.0,0036,changing_-10,changing,-10.0,False,False,,,ls:1263-141777-0027,5.918004989624023,4.635197639465332,0.814288281020588,1.228163242340088,nan
gf0.85_nb1.0,0037,changing_-10,changing,-10.0,False,False,,,ls:1898-145715-0025,5.715882301330566,4.38637113571167,0.7658498591422113,1.3090407848358154,nan
gf0.85_nb1.0,0038,changing_-10,changing,-10.0,False,False,,,ls:1898-145724-0031,6.410400867462158,5.306603908538818,0.6991981041966524,1.3122950792312622,nan
gf0.85_nb1.0,0039,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26967680,7.521152496337891,6.716561794281006,0.8286835660752082,1.2773162126541138,nan
gf0.85_nb1.0,0000,changing_-5,changing,-5.0,False,False,,,cvhi:common_voice_hi_26007733,9.488441467285156,8.987764358520508,0.9017459642285839,1.9455130100250244,nan
gf0.85_nb1.0,0001,changing_-5,changing,-5.0,False,True,,,cvhi:common_voice_hi_25128215,8.70875358581543,8.187825202941895,0.8524952028209651,1.3748661279678345,nan
gf0.85_nb1.0,0002,changing_-5,changing,-5.0,False,False,,,cvhi:common_voice_hi_27005258,10.263059616088867,9.885868072509766,0.923595737938714,2.196316957473755,nan
gf0.85_nb1.0,0003,changing_-5,changing,-5.0,False,False,,,cvhi:common_voice_hi_26008936,9.78245735168457,9.413834571838379,0.6991456152050184,1.4512543678283691,nan
gf0.85_nb1.0,0004,changing_-5,changing,-5.0,False,False,,,cvhi:common_voice_hi_27005196,15.798654556274414,15.867280960083008,0.9276435058200637,2.547322988510132,nan
gf0.85_nb1.0,0005,changing_-5,changing,-5.0,False,True,,,cvhi:common_voice_hi_27122900,6.0738725662231445,4.88573694229126,0.8241755283156665,1.5599026679992676,nan
gf0.85_nb1.0,0006,changing_-5,changing,-5.0,False,False,,,ls:1263-138246-0004,11.637028694152832,11.715102195739746,0.9211145911607695,1.9568145275115967,nan
gf0.85_nb1.0,0007,changing_-5,changing,-5.0,False,True,,,cvhi:common_voice_hi_24228329,8.83564567565918,8.425809860229492,0.8843987435244297,1.5112674236297607,nan
