system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s
anchor,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24758653,10.546027183532715,10.154729843139648,0.940481640314511,1.6486271619796753,nan
anchor,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510980,22.552509307861328,22.5290584564209,0.9869117591182321,3.581224203109741,nan
anchor,0002,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26687145,6.632884979248047,5.638022422790527,0.8279599791742137,1.2859909534454346,nan
anchor,0003,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27383943,5.013350486755371,3.371222972869873,0.7822101838682326,1.3881405591964722,nan
anchor,0004,changing_-10,changing,-10.0,False,False,,,ls:150-126107-0028,8.729585647583008,8.220712661743164,0.8336334584972706,1.6860558986663818,nan
anchor,0005,changing_-10,changing,-10.0,True,False,,,ls:150-132655-0028,6.097811698913574,4.919498443603516,0.7753137614539243,1.327858567237854,nan
anchor,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25948419,5.887749671936035,4.657158374786377,0.8242564295766734,1.4145060777664185,nan
anchor,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007582,13.496479988098145,13.62430191040039,0.9479434723962264,1.9059128761291504,nan
anchor,0008,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0025,5.548946857452393,4.15679407119751,0.7241619193971638,1.214950442314148,nan
anchor,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_24782656,3.7064645290374756,1.3882026672363281,0.6643152768298741,1.1953171491622925,nan
anchor,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27005244,7.164569854736328,6.242895126342773,0.8804556154582924,2.2310495376586914,nan
anchor,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386849,9.528400421142578,9.139283180236816,0.8337537316293392,1.6295795440673828,nan
anchor,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24228493,12.044974327087402,11.894850730895996,0.9521624639328485,2.832153558731079,nan
anchor,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26008620,13.672598838806152,14.389842987060547,0.8346696225049036,2.039830446243286,nan
anchor,0014,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0021,14.532140731811523,14.731802940368652,0.9678136066221548,2.5513906478881836,nan
anchor,0015,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005397,9.896135330200195,9.431385040283203,0.896629736912411,1.2847803831100464,nan
anchor,0016,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24759380,12.520536422729492,12.276084899902344,0.9508016105114288,2.0129377841949463,nan
anchor,0017,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27149958,8.40689468383789,7.807769298553467,0.8427035079755748,1.405410885810852,nan
anchor,0018,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25180517,7.763060569763184,6.967921733856201,0.6756811175575009,1.2400628328323364,nan
anchor,0019,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24759304,7.574455261230469,6.755702495574951,0.7815294038485252,1.6806749105453491,nan
anchor,0020,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007743,7.606631278991699,7.0093207359313965,0.8430039720443397,1.515812873840332,nan
anchor,0021,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27005461,5.661938190460205,4.286120414733887,0.7117324237117073,1.1233882904052734,nan
anchor,0022,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24258355,7.738005638122559,7.29919958114624,0.7860287964079923,1.3047900199890137,nan
anchor,0023,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386565,12.979997634887695,13.024144172668457,0.7731866629560376,1.450377345085144,nan
anchor,0024,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25154335,15.531739234924316,15.626640319824219,0.8357502466167136,1.3848563432693481,nan
anchor,0025,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25473109,3.7983548641204834,1.4716153144836426,0.6564556768109381,1.246340036392212,nan
anchor,0026,changing_-10,changing,-10.0,False,False,,,ls:1263-138246-0015,13.494901657104492,13.422704696655273,0.966990157332453,2.6462624073028564,nan
anchor,0027,changing_-10,changing,-10.0,False,False,,,ls:1898-145720-0001,3.763101100921631,1.4000608921051025,0.6919987968253979,1.1451256275177002,nan
anchor,0028,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_24782650,11.938630104064941,11.67660903930664,0.8331786262435527,1.7575125694274902,nan
anchor,0029,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007863,5.007867813110352,3.3606324195861816,0.7299525224191746,1.2229223251342773,nan
anchor,0030,changing_-10,changing,-10.0,False,False,,,ls:1263-138246-0021,6.148087501525879,5.162233352661133,0.798739676836333,1.3297592401504517,nan
anchor,0031,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005577,3.6827943325042725,1.255026936531067,0.7462722205987318,1.2363489866256714,nan
anchor,0032,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26967982,8.384714126586914,7.740309238433838,0.8012916446929036,1.3850131034851074,nan
anchor,0033,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25154411,4.7770771980285645,3.0257568359375,0.6911838999099091,1.2482154369354248,nan
anchor,0034,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27005346,16.03349494934082,17.681453704833984,0.9884880444695571,3.040503740310669,nan
anchor,0035,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510981,13.250218391418457,13.463678359985352,0.9271522061353645,2.1223790645599365,nan
anchor,0036,changing_-10,changing,-10.0,False,False,,,ls:1263-141777-0027,5.925841331481934,4.646119594573975,0.8172405629617374,1.2342851161956787,nan
anchor,0037,changing_-10,changing,-10.0,False,False,,,ls:1898-145715-0025,5.731908798217773,4.396113872528076,0.7667381386036826,1.32492196559906,nan
anchor,0038,changing_-10,changing,-10.0,False,False,,,ls:1898-145724-0031,6.427130699157715,5.3235907554626465,0.7002463538518726,1.3191540241241455,nan
anchor,0039,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26967680,7.496165752410889,6.67521858215332,0.8294071352780498,1.2787338495254517,nan
anchor,0000,changing_-5,changing,-5.0,False,False,,,cvhi:common_voice_hi_26007733,9.467259407043457,8.983880043029785,0.9027567673816814,1.9398407936096191,nan
