i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,101:0,firefight,physical,pos,no,physical,-11.778589157984928,15.081185340881348,True,22947,9721,0.8660737872123718
1,101:1,firefight,low_ild,pos,no,-6..+3,-1.1672118925024044,20.455848693847656,False,11108,4731,0.3635086417198181
2,101:2,helicopter,physical,pos,no,physical,-11.864525061059883,-16.67298126220703,True,198,89996,0.561182975769043
3,101:3,command_post,physical,pos,no,physical,-10.9710064703592,4.994302749633789,False,3252,43774,0.7613386511802673
4,101:4,artillery,mono,pos,no,-6..+3,0.0,21.107791900634766,False,28887,3109,0.49999991059303284
5,101:5,firefight,physical,none,no,physical,-13.909713728137923,24.47355079650879,False,18655,2782,0.8895727396011353
6,101:6,command_post,physical,none,no,physical,-14.492700041591469,8.580327033996582,False,6350,26548,0.8881215453147888
7,101:7,artillery,physical,pos,no,physical,-12.647097338887086,21.58940887451172,False,11687,4581,0.902021050453186
8,101:8,artillery,physical,pos,no,physical,-12.512121010872018,-1.0430988073349,True,20348,12325,0.7715169191360474
9,101:9,helicopter,low_ild,neg,yes,-6..+3,2.6820343958142843,-9.043806076049805,True,967,68521,0.7529352307319641
10,101:10,apc,physical,pos,no,physical,-15.453047096628286,-8.524927139282227,True,4644,53133,0.9240441918373108
11,101:11,apc,low_ild,none,no,-6..+3,-1.5432255513609086,-5.7957963943481445,True,5564,39668,0.5405019521713257
12,101:12,patrol,physical,none,yes,physical,-14.93755938521089,2.420091390609741,False,13894,4041,0.8890531659126282
13,101:13,helicopter,physical,none,yes,physical,-12.45245316637726,-13.059210777282715,True,386,64342,0.7564989328384399
14,101:14,command_post,mono,pos,no,-6..+3,0.0,0.9871673583984375,False,4204,58894,0.5
15,101:15,helicopter,mono,neg,yes,-6..+3,0.0,-19.735042572021484,True,310,86419,0.5
16,101:16,apc,physical,neg,no,physical,-12.543478022093058,-17.24944305419922,True,2169,63985,0.8537077903747559
17,101:17,helicopter,physical,pos,yes,physical,-16.810482282872037,-19.82768440246582,True,62,90510,0.31789642572402954
18,101:18,artillery,physical,none,no,physical,-16.729469160251714,37.905738830566406,True,35780,318,0.6954814791679382
19,101:19,command_post,physical,none,no,physical,-16.327530017156576,24.333297729492188,False,16173,3170,0.9934843182563782
20,101:20,windy_ridge,physical,pos,yes,physical,-8.551489801289865,21.522409439086914,False,25922,1525,0.7600846886634827
21,101:21,windy_ridge,physical,none,yes,physical,-11.144184752657374,4.2347283363342285,False,12230,8146,0.8351876139640808
