i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
164,7331:164,firefight,physical,pos,no,physical,-15.521161215469785,13.777639389038086,True,15036,16996,0.8993943333625793
165,7331:165,artillery,physical,neg,no,physical,-10.680982452836876,29.604373931884766,False,12630,2376,0.9751449823379517
166,7331:166,command_post,physical,pos,no,physical,-14.406146792789578,5.74874210357666,False,3956,32956,0.8224173188209534
167,7331:167,windy_ridge,stereo,none,yes,-6..+3,-0.629207609576401,-8.685175895690918,False,4368,17410,0.40714511275291443
168,7331:168,artillery,physical,pos,no,physical,-10.956534983745755,22.554271697998047,True,26400,4739,0.802114725112915
169,7331:169,patrol,low_ild,none,yes,-6..+3,2.6672268674966055,26.83608055114746,False,13438,1004,0.4499341547489166
170,7331:170,windy_ridge,low_ild,pos,yes,-6..+3,-3.6856233948124384,-0.4004325270652771,False,12527,11812,0.5816216468811035
171,7331:171,patrol,physical,pos,yes,physical,-16.578328041254338,-0.1417941451072693,False,5893,12837,0.8646295666694641
172,7331:172,firefight,stereo,unspatialised,no,-6..+3,0.8322476946465258,26.176471710205078,True,20468,2608,0.3759763836860657
173,7331:173,command_post,physical,none,no,physical,-10.681287821879309,7.035191535949707,False,7186,8435,0.8405553698539734
174,7331:174,apc,mono,pos,no,-6..+3,0.0,-26.60955810546875,True,298,37597,0.5
175,7331:175,windy_ridge,low_ild,pos,yes,-6..+3,1.8240461755378696,7.696108341217041,False,11114,7793,0.39922404289245605
176,7331:176,patrol,physical,neg,yes,physical,-12.720926286873649,14.292686462402344,False,23431,6071,0.9095104932785034
177,7331:177,artillery,low_ild,pos,no,-6..+3,1.3292619008407236,5.505833625793457,False,12678,16931,0.3366127014160156
178,7331:178,firefight,physical,pos,no,physical,-17.514801292539612,30.667621612548828,True,16214,2995,0.7990206480026245
179,7331:179,drone,stereo,unspatialised,no,-6..+3,-0.4960539174355887,23.401853561401367,False,17179,2812,0.3744390904903412
180,7331:180,artillery,mono,pos,no,-6..+3,0.0,10.033320426940918,False,24094,5083,0.49999985098838806
181,7331:181,command_post,physical,pos,no,physical,-15.98491289783351,9.05331039428711,False,5307,35676,0.8606261014938354
182,7331:182,apc,physical,pos,no,physical,-13.450674339408451,-13.025733947753906,True,622,78574,0.6096845269203186
183,7331:183,artillery,physical,none,no,physical,-11.95537315474077,20.345304489135742,True,23713,1657,0.7314131855964661
184,7331:184,drone,physical,pos,no,physical,-13.72204035150397,19.134201049804688,False,20260,16240,0.8528484106063843
185,7331:185,artillery,physical,pos,yes,physical,-14.815615750874628,28.648550033569336,True,17861,2302,0.7098145484924316
186,7331:186,firefight,physical,pos,no,physical,-10.164776734818648,14.792323112487793,False,10653,8742,0.7383361458778381
187,7331:187,firefight,low_ild,pos,no,-6..+3,-0.6335501452694814,5.967253684997559,False,4733,45190,0.3894597291946411
188,7331:188,helicopter,low_ild,pos,no,-6..+3,-5.162435293062369,-15.517824172973633,True,446,74949,0.44879159331321716
189,7331:189,apc,physical,pos,no,physical,-15.787404924654108,-10.648966789245605,True,369,73162,0.6473978757858276
190,7331:190,command_post,low_ild,none,no,-6..+3,-4.925787785186195,4.521993160247803,False,3902,50469,0.0913679227232933
191,7331:191,patrol,physical,pos,yes,physical,-12.430131371788441,-1.8249361515045166,False,8291,6878,0.8710732460021973
192,7331:192,artillery,physical,pos,no,physical,-9.198334679667571,25.127452850341797,False,19745,2367,0.7066328525543213
193,7331:193,windy_ridge,physical,pos,yes,physical,-9.784185621761011,8.38730239868164,False,10282,5039,0.8339129686355591
194,7331:194,patrol,physical,pos,no,physical,-15.796320019833146,19.76392936706543,False,16287,9117,0.8363019227981567
195,7331:195,apc,physical,pos,no,physical,-14.279932044262171,-16.976802825927734,True,742,72075,0.5956145524978638
196,7331:196,patrol,physical,pos,no,physical,-13.437373332554785,20.426002502441406,False,22036,2732,0.829555094242096
197,7331:197,firefight,low_ild,pos,yes,-6..+3,-4.715113268613386,14.453400611877441,False,12426,8307,0.5267608165740967
198,7331:198,artillery,low_ild,pos,no,-6..+3,-5.954454712527532,18.208480834960938,True,22218,6422,0.3077743947505951
199,7331:199,command_post,low_ild,neg,no,-6..+3,1.9704428935628115,17.317354202270508,False,9164,14817,0.7668367624282837
