i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,77:0,helicopter,physical,pos,no,physical,-13.573390286730827,-12.321910858154297,True,1861,71983,0.797380268573761
1,77:1,artillery,physical,pos,no,physical,-17.24684416558607,20.03777503967285,False,22925,2083,0.9778859615325928
2,77:2,apc,physical,pos,no,physical,-15.913110621015633,-13.389176368713379,True,598,81151,0.7105792760848999
3,77:3,patrol,mono,none,no,-6..+3,0.0,20.58370590209961,False,9338,4013,0.5
4,77:4,helicopter,physical,none,yes,physical,-16.353503738922633,-7.2531914710998535,True,5378,42090,0.9181883335113525
5,77:5,patrol,physical,none,no,physical,-9.102417342487769,19.898935317993164,False,12074,2797,0.9489135146141052
6,77:6,apc,low_ild,neg,no,-6..+3,-3.8590466817582865,-24.955053329467773,True,270,80282,0.5563833117485046
7,77:7,artillery,mono,pos,no,-6..+3,0.0,7.7554931640625,False,8178,12635,0.5
8,77:8,apc,physical,pos,no,physical,-19.1477553795202,-9.415984153747559,True,1064,82491,0.7745720148086548
9,77:9,command_post,physical,pos,no,physical,-14.290566369060834,13.41102123260498,False,9431,16518,0.9649866223335266
10,77:10,drone,physical,pos,no,physical,-9.405112831580439,7.672176361083984,False,7763,18821,0.9860050082206726
11,77:11,windy_ridge,physical,none,yes,physical,-15.496088147540355,10.093843460083008,False,22581,3933,0.9133346080780029
12,77:12,patrol,physical,pos,yes,physical,-14.977249418653479,12.801698684692383,False,11612,11392,0.9181162714958191
13,77:13,command_post,physical,pos,no,physical,-16.54028375510393,6.792916774749756,False,1265,47008,0.8786449432373047
14,77:14,apc,physical,pos,no,physical,-9.775392017489985,-20.53693962097168,True,354,77859,0.5057172179222107
15,77:15,patrol,physical,pos,no,physical,-13.659825897127668,30.652244567871094,False,14513,922,0.8703340888023376
16,77:16,windy_ridge,physical,pos,yes,physical,-10.420443665982024,-4.764120578765869,False,10554,14983,0.7906284332275391
17,77:17,command_post,low_ild,pos,no,-6..+3,-2.5722682340033316,9.62246036529541,False,7220,33977,0.9296211004257202
18,77:18,windy_ridge,physical,none,yes,physical,-10.953023200775881,2.658068895339966,False,15842,7117,0.8267147541046143
19,77:19,patrol,physical,pos,no,physical,-10.821735791880961,24.77351188659668,False,15911,2196,0.7808933258056641
20,77:20,command_post,stereo,none,no,-6..+3,-0.9086799253600617,21.368961334228516,False,21717,4258,0.6720530390739441
21,77:21,firefight,physical,none,yes,physical,-9.458719177162905,18.845806121826172,False,11839,1922,0.874886155128479
22,77:22,apc,physical,pos,no,physical,-11.473694190174736,-9.566059112548828,True,1286,76299,0.6342629194259644
23,77:23,drone,physical,none,no,physical,-15.495631783282253,21.381004333496094,False,14862,1920,0.9998432993888855
24,77:24,firefight,physical,pos,yes,physical,-15.127500059734349,9.529539108276367,False,8914,13917,0.9205819368362427
