system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s
refiner,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24758653,12.140430450439453,11.866693496704102,0.9574363033724557,2.1288259029388428,nan
refiner,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24510980,20.97854232788086,20.962717056274414,0.9897695545861889,3.6649250984191895,nan
refiner,0002,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26687145,7.131460189819336,6.243911266326904,0.847853825956163,1.3510839939117432,nan
refiner,0003,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_27383943,5.743039131164551,4.400338649749756,0.7906247079348654,1.4555059671401978,nan
refiner,0004,changing_-10,changing,-10.0,False,False,,,ls:150-126107-0028,9.412714004516602,9.017799377441406,0.8462003975322226,1.8362419605255127,nan
refiner,0005,changing_-10,changing,-10.0,True,False,,,ls:150-132655-0028,7.349934101104736,6.659560203552246,0.8336460680520655,1.6500108242034912,nan
refiner,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25948419,6.1585283279418945,4.957198143005371,0.8328721052095975,1.4944952726364136,nan
refiner,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26007582,15.724874496459961,16.12382698059082,0.9644225137981366,2.14800763130188,nan
refiner,0008,changing_-10,changing,-10.0,False,False,,,ls:1263-139804-0025,5.98069429397583,4.728699207305908,0.7462679066855771,1.2521936893463135,nan
refiner,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_24782656,4.403461933135986,2.726067543029785,0.6903865352823475,1.2414783239364624,nan
refiner,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27005244,7.506801605224609,6.725390434265137,0.8947679243268752,2.466035842895508,nan
refiner,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24386849,12.24771499633789,12.05592155456543,0.8885388433602589,1.9009084701538086,nan
refiner,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24228493,13.982949256896973,13.952908515930176,0.9669212745260035,3.4079782962799072,nan
refiner,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26008620,13.897615432739258,14.68636417388916,0.8294985009948617,2.083008050918579,nan
