system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text,category,noise_source,impulse_source
gtcrn_pretrained,0000,blast_artillery_-10,impulsive+stationary,-10.0,True,False,36.01206832074567,,cvhi:common_voice_hi_37803369,1.6491405963897705,-3.3545188903808594,0.5018389591926445,1.0751545429229736,1.5287885077642267,3.532284279482956,1.3660678350055748,inf,,blast_artillery,mad:helicopter/186_0,synthetic:blast:artillery
gtcrn_pretrained,0001,blast_artillery_-10,impulsive+stationary,-10.0,False,True,21.82568817644011,,ls:1926-147979-0002,2.363844394683838,-1.3965659141540527,0.6186637880612175,1.1062785387039185,1.4368553056280684,3.177389551193625,1.3630074980574889,0.08,,blast_artillery,mad:fighter/086_1,synthetic:blast:artillery
gtcrn_pretrained,0002,blast_artillery_-10,impulsive+stationary,-10.0,False,False,21.59032985042106,,cvhi:common_voice_hi_26131361,-1.68849515914917,-16.24791145324707,0.3643603053302422,1.0506900548934937,1.3673435024814362,2.238562823499249,1.1988463030647551,0.22,,blast_artillery,mad:helicopter/131_2,synthetic:blast:artillery
gtcrn_pretrained,0003,blast_artillery_-10,impulsive+stationary,-10.0,False,False,36.97860987680753,,ls:2007-132570-0055,1.8439903259277344,-2.721799373626709,0.5661558410356272,1.0541386604309082,1.4179147076262608,2.630163493872643,1.2585784002627793,0.52,,blast_artillery,mad:fighter/215_19,synthetic:blast:artillery
gtcrn_pretrained,0004,blast_artillery_-10,impulsive+stationary,-10.0,False,False,19.772899296850365,,cvhi:common_voice_hi_26897388,-0.39889341592788696,-10.901021003723145,0.37120346482349026,1.091633915901184,1.7683039911994896,3.4477507307753594,1.562668931511718,0.18,,blast_artillery,mad:fighter/317_2,synthetic:blast:artillery
gtcrn_pretrained,0005,blast_artillery_-10,impulsive+stationary,-10.0,False,False,25.18483085764729,,cvhi:common_voice_hi_26152437,-1.0606642961502075,-15.485889434814453,0.430361819717654,1.0328372716903687,1.4716833433246364,3.4388190442371087,1.3439186659581703,inf,,blast_artillery,mad:helicopter/099_6,synthetic:blast:artillery
gtcrn_pretrained,0006,blast_artillery_-10,impulsive+stationary,-10.0,True,True,27.825304939712794,,ls:1926-147987-0006,1.396546483039856,-2.100379228591919,0.49900811044056564,1.0447614192962646,1.569020239181466,3.343650046882807,1.4181670776690936,0.34,,blast_artillery,mad:fighter/221_6,synthetic:blast:artillery
gtcrn_pretrained,0007,blast_artillery_-10,impulsive+stationary,-10.0,False,True,42.637550698181386,,cvhi:common_voice_hi_25161549,-1.6370007991790771,-13.408527374267578,0.4570828489351164,1.05463445186615,1.3708818227903736,2.545566837882292,1.2464341356930142,0.52,,blast_artillery,mad:fighter/271_9,synthetic:blast:artillery
gtcrn_pretrained,0008,blast_artillery_-10,impulsive+stationary,-10.0,False,False,36.29456356914268,,cvhi:common_voice_hi_24359474,3.152060031890869,0.28969812393188477,0.5691327636454634,1.086774468421936,1.7648538763381423,3.623250426819581,1.5558899408032199,0.4,,blast_artillery,mad:fighter/221_9,synthetic:blast:artillery
gtcrn_pretrained,0009,blast_artillery_-10,impulsive+stationary,-10.0,False,False,25.104895015212165,,ls:2007-149877-0054,1.7278183698654175,-3.034224033355713,0.5009597376117332,1.0740689039230347,1.7523304212362942,2.317645131253955,1.3725136494688377,0.1,,blast_artillery,mad:helicopter/186_6,synthetic:blast:artillery
gtcrn_pretrained,0010,blast_artillery_-10,impulsive+stationary,-10.0,False,False,24.07347852326299,,ls:2007-132570-0004,1.9802712202072144,-1.7232656478881836,0.5111391889357088,1.054714322090149,1.5912338873670202,3.362091262353334,1.4417315874851637,0.12,,blast_artillery,mad:helicopter/099_3,synthetic:blast:artillery
gtcrn_pretrained,0011,blast_artillery_-10,impulsive+stationary,-10.0,False,False,24.783721458372153,,cvhi:common_voice_hi_23833319,1.169155240058899,-3.292231798171997,0.49116182134049513,1.0860785245895386,1.7087860797608485,2.8896514311300305,1.4393715315488476,0.3,,blast_artillery,mad:helicopter/233_36,synthetic:blast:artillery
gtcrn_pretrained,0012,blast_artillery_-10,impulsive+stationary,-10.0,False,False,39.00201969907741,,ls:1926-143879-0031,1.3574366569519043,-4.3348822593688965,0.4914820809331582,1.0427483320236206,1.550130675943215,2.905325603485803,1.3310741994241337,0.2,,blast_artillery,mad:helicopter/099_2,synthetic:blast:artillery
gtcrn_pretrained,0013,blast_artillery_-10,impulsive+stationary,-10.0,False,False,17.54264621305593,,ls:1081-125237-0048,1.0754238367080688,-5.48806619644165,0.46730977911940375,1.128533124923706,1.6013822994192286,3.0607125633603114,1.3519182873284314,0.16,,blast_artillery,mad:vehicle/096_21,synthetic:blast:artillery
gtcrn_pretrained,0014,blast_artillery_-10,impulsive+stationary,-10.0,False,False,18.09134008903922,,cvhi:common_voice_hi_24359433,-0.2628493309020996,-8.521553039550781,0.5248994485872327,1.0660903453826904,1.6665597895473958,3.330613509688208,1.3611775988389225,0.4,,blast_artillery,mad:fighter/359_3,synthetic:blast:artillery
gtcrn_pretrained,0015,blast_artillery_-10,impulsive+stationary,-10.0,False,False,43.18577605548318,,cvhi:common_voice_hi_27749309,1.0813274383544922,-4.841192245483398,0.4299809807932744,1.0538835525512695,1.4153445064598176,3.606111352071374,1.251795541015244,0.26,,blast_artillery,mad:helicopter/099_17,synthetic:blast:artillery
gtcrn_pretrained,0016,blast_artillery_-10,impulsive+stationary,-10.0,False,False,32.72430705806443,,cvhi:common_voice_hi_26151859,1.4499503374099731,-3.865180015563965,0.48771005117077204,1.0604019165039062,1.4399955735286605,3.1297179104702773,1.3117941059056022,1.1,,blast_artillery,mad:vehicle/392_0,synthetic:blast:artillery
gtcrn_pretrained,0017,blast_artillery_-10,impulsive+stationary,-10.0,False,False,32.31452022169934,,ls:1926-143879-0045,1.223065733909607,-4.86896276473999,0.457024391472168,1.0473277568817139,1.0250421180357865,2.5241539970991496,1.031688705830102,inf,,blast_artillery,mad:helicopter/099_5,synthetic:blast:artillery
gtcrn_pretrained,0018,blast_artillery_-10,impulsive+stationary,-10.0,False,False,35.043439489516345,,ls:2007-149877-0048,1.1930599212646484,-3.804487705230713,0.4861509284621719,1.0600206851959229,1.6170526770593592,3.2961788112781676,1.4388063609260495,0.9,,blast_artillery,mad:fighter/353_0,synthetic:blast:artillery
gtcrn_pretrained,0019,blast_artillery_-10,impulsive+stationary,-10.0,False,False,29.868750102741306,,ls:1081-125237-0058,0.7162182331085205,-7.094836235046387,0.5503833653467514,1.0488311052322388,1.9186025576776575,3.346895336133183,1.5951250145321758,1.4,,blast_artillery,mad:helicopter/176_2,synthetic:blast:artillery
gtcrn_pretrained,0020,blast_artillery_-10,impulsive+stationary,-10.0,False,False,43.19851817552929,,cvhi:common_voice_hi_27592143,1.514983057975769,-3.793652057647705,0.38536992370102197,1.0966628789901733,1.8268514278570496,1.9304655076745634,1.366529815933425,0.1,,blast_artillery,mad:fighter/271_5,synthetic:blast:artillery
gtcrn_pretrained,0021,blast_artillery_-10,impulsive+stationary,-10.0,False,False,33.56763146792986,,cvhi:common_voice_hi_25161549,1.176159143447876,-4.908799171447754,0.4984989115736749,1.0743919610977173,1.623021204744554,3.409737641605002,1.3372450481039087,0.04,,blast_artillery,mad:fighter/221_2,synthetic:blast:artillery
gtcrn_pretrained,0022,blast_artillery_-10,impulsive+stationary,-10.0,True,True,19.435865465345813,,cvhi:common_voice_hi_23833318,0.19515253603458405,-11.725506782531738,0.310532589945027,1.1335545778274536,1.2893675676201055,1.724495964199171,1.1082541416730103,1.34,,blast_artillery,mad:vehicle/266_3,synthetic:blast:artillery
gtcrn_pretrained,0023,blast_artillery_-10,impulsive+stationary,-10.0,False,False,28.15826476636505,,ls:2007-132570-0028,-2.7658205032348633,-9.362576484680176,0.4654067895169558,1.0521432161331177,1.4209140177453972,3.1959192568274384,1.2181252363232173,inf,,blast_artillery,mad:fighter/307_13,synthetic:blast:artillery
gtcrn_pretrained,0024,blast_artillery_-10,impulsive+stationary,-10.0,False,False,15.888731852783724,,ls:1926-147987-0020,-1.3899509906768799,-10.78132152557373,0.38122429460815616,1.0366201400756836,1.4830367015438075,3.010285369234189,1.3506719687028181,0.68,,blast_artillery,mad:helicopter/096_38,synthetic:blast:artillery
gtcrn_pretrained,0025,blast_artillery_-10,impulsive+stationary,-10.0,False,False,20.884364357170334,,ls:2007-149877-0041,1.3580145835876465,-4.290597438812256,0.47180414547044996,1.0437036752700806,1.6857222106585876,3.205721361059913,1.4368399204520397,0.04,,blast_artillery,mad:vehicle/213_11,synthetic:blast:artillery
