system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text,category,noise_source,impulse_source
cascade:runs/r7_e256_wr64_refiner/best.pt,0015,blast_artillery_-10,impulsive+stationary,-10.0,False,False,43.18577605548318,,cvhi:common_voice_hi_27749309,6.279404163360596,5.258573532104492,0.7122988961930026,1.187044620513916,2.3582841489753035,3.131211738355506,1.8854030090952036,0.04,,blast_artillery,mad:helicopter/099_17,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0016,blast_artillery_-10,impulsive+stationary,-10.0,False,False,32.72430705806443,,cvhi:common_voice_hi_26151859,6.708879470825195,5.98000431060791,0.7896006676686179,1.2257256507873535,2.520255287757395,3.650062898927705,2.16001594851981,0.04,,blast_artillery,mad:vehicle/392_0,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0017,blast_artillery_-10,impulsive+stationary,-10.0,False,False,32.31452022169934,,ls:1926-143879-0045,5.088405609130859,3.582376003265381,0.7788109976369677,1.3015992641448975,1.8226048743631629,3.2468435246067635,1.5946847446606038,0.0,,blast_artillery,mad:helicopter/099_5,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0018,blast_artillery_-10,impulsive+stationary,-10.0,False,False,35.043439489516345,,ls:2007-149877-0048,8.04262924194336,7.416114330291748,0.7933918213136365,1.473102331161499,2.7394631156326827,3.6727899324318045,2.4148290743049623,0.1,,blast_artillery,mad:fighter/353_0,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0019,blast_artillery_-10,impulsive+stationary,-10.0,False,False,29.868750102741306,,ls:1081-125237-0058,3.101367712020874,0.1974332481622696,0.7060265507097279,1.1267787218093872,2.6694679627620888,3.5595785110331577,2.284781698527494,0.22,,blast_artillery,mad:helicopter/176_2,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0020,blast_artillery_-10,impulsive+stationary,-10.0,False,False,43.19851817552929,,cvhi:common_voice_hi_27592143,7.45306921005249,6.685891151428223,0.768403012213064,1.6516462564468384,2.1162510833339723,3.409031652300363,1.8174804355724514,0.12,,blast_artillery,mad:fighter/271_5,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0021,blast_artillery_-10,impulsive+stationary,-10.0,False,False,33.56763146792986,,cvhi:common_voice_hi_25161549,6.525144577026367,5.592905044555664,0.8331178785176461,1.294283151626587,2.109528623749435,3.5797343065242786,1.8634361751364799,0.0,,blast_artillery,mad:fighter/221_2,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0022,blast_artillery_-10,impulsive+stationary,-10.0,True,True,19.435865465345813,,cvhi:common_voice_hi_23833318,2.068681478500366,-0.9508999586105347,0.4138325418408994,1.0470024347305298,1.9518192287558451,2.810686425453781,1.5155013521781848,0.2,,blast_artillery,mad:vehicle/266_3,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0023,blast_artillery_-10,impulsive+stationary,-10.0,False,False,28.15826476636505,,ls:2007-132570-0028,4.284494400024414,2.2653489112854004,0.6640454894696107,1.1132830381393433,1.7434756551438837,3.445451049060909,1.5324144232664292,0.24,,blast_artillery,mad:fighter/307_13,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0024,blast_artillery_-10,impulsive+stationary,-10.0,False,False,15.888731852783724,,ls:1926-147987-0020,2.5189411640167236,-1.0414520502090454,0.41847548193558415,1.1092572212219238,1.5732704496242833,3.238578665916296,1.3935183119249197,0.16,,blast_artillery,mad:helicopter/096_38,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0025,blast_artillery_-10,impulsive+stationary,-10.0,False,False,20.884364357170334,,ls:2007-149877-0041,6.03626823425293,4.842652320861816,0.7949645523552724,1.3606841564178467,2.329941249416422,3.3907430387621353,1.9768801284627562,0.02,,blast_artillery,mad:vehicle/213_11,synthetic:blast:artillery
cascade:runs/r7_e256_wr64_refiner/best.pt,0026,blast_artillery_-10,impulsive+stationary,-10.0,True,False,41.357324342987056,,ls:1081-125237-0026,4.721172332763672,2.9487414360046387,0.5883543185105268,1.1519423723220825,2.887871097939665,3.3729430387259933,2.3535587620224687,0.22,,blast_artillery,mad:fighter/307_9,synthetic:blast:artillery
