i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,77:0,helicopter,physical,pos,no,physical,-13.573390521508905,-12.771063804626465,True,1750,71134,0.7517935633659363
1,77:1,artillery,physical,pos,no,physical,-17.246843771814614,16.128253936767578,False,22954,2253,0.9528242349624634
2,77:2,apc,low_ild,pos,no,-6..+3,1.9426186739131914,-13.639477729797363,True,493,80801,0.15559452772140503
3,77:3,patrol,low_ild,none,no,-6..+3,1.0693809204462426,24.80877113342285,False,9172,2224,0.6572372317314148
4,77:4,helicopter,mono,none,yes,-6..+3,0.0,-7.424102783203125,True,5678,45756,0.5000000596046448
5,77:5,patrol,low_ild,pos,yes,-6..+3,-3.6206727923050863,12.404109001159668,False,10573,6300,0.28526023030281067
6,77:6,apc,low_ild,pos,no,-6..+3,-3.8590468269015226,-24.03978729248047,True,276,83222,0.4484863877296448
7,77:7,artillery,mono,pos,no,-6..+3,0.0,3.4604315757751465,False,7134,16160,0.5
8,77:8,apc,physical,pos,no,physical,-19.14775501133093,-9.342108726501465,True,1042,82222,0.7806218862533569
9,77:9,command_post,physical,pos,no,physical,-14.290566508943783,13.708495140075684,False,10466,18204,0.8650285005569458
10,77:10,drone,physical,pos,no,physical,-9.405113068693744,8.450335502624512,False,8447,17456,0.8936778903007507
11,77:11,windy_ridge,low_ild,pos,yes,-6..+3,-5.773230084925618,3.3744235038757324,False,17637,7301,0.6738154888153076
12,77:12,patrol,physical,neg,yes,physical,-14.97724933644212,13.694100379943848,False,11968,10036,0.9147335886955261
13,77:13,command_post,physical,pos,no,physical,-16.540283615343604,8.497992515563965,False,1752,32366,0.7922182083129883
14,77:14,apc,physical,pos,no,physical,-9.77539187139945,-22.002044677734375,True,387,73008,0.5300353169441223
15,77:15,patrol,physical,pos,no,physical,-13.659826175893492,26.05982208251953,False,14989,1323,0.8000016808509827
16,77:16,windy_ridge,physical,pos,yes,physical,-10.42044373691418,-4.824460029602051,False,10600,15010,0.7941007614135742
17,77:17,command_post,low_ild,pos,no,-6..+3,-2.5722677513118484,9.992791175842285,False,9078,31319,0.21143335103988647
18,77:18,windy_ridge,stereo,unspatialised,yes,-6..+3,0.6781255358592304,2.1411547660827637,False,14968,10596,0.33271533250808716
19,77:19,patrol,physical,pos,no,physical,-10.82173577415913,24.775373458862305,False,16077,1884,0.6643688082695007
20,77:20,command_post,mono,none,no,-6..+3,0.0,21.60536766052246,False,21389,3762,0.4999999403953552
21,77:21,firefight,low_ild,none,yes,-6..+3,-4.972800541533498,19.51083755493164,False,11978,1894,0.7761508822441101
22,77:22,apc,physical,neg,no,physical,-11.473694428521586,-9.212068557739258,True,1388,76755,0.7658013105392456
23,77:23,drone,physical,pos,no,physical,-15.146306766472211,24.615060806274414,False,16233,714,0.9861876368522644
24,77:24,firefight,low_ild,pos,yes,-6..+3,1.100893336310527,6.82103157043457,False,9263,15992,0.09800171852111816
25,77:25,patrol,physical,pos,no,physical,-16.375505796952012,11.091108322143555,False,11059,5681,0.9020503163337708
26,77:26,windy_ridge,physical,pos,yes,physical,-15.402847677006562,-7.530797004699707,True,6965,7743,0.9043174982070923
27,77:27,drone,physical,pos,no,physical,-12.561953936138785,14.136630058288574,False,12784,9813,0.8859356641769409
28,77:28,patrol,physical,pos,no,physical,-10.80320719537415,25.1348876953125,False,22747,1029,0.9047857522964478
29,77:29,patrol,physical,pos,no,physical,-13.663440509029698,23.766929626464844,False,10830,3015,0.7267156839370728
30,77:30,patrol,low_ild,pos,no,-6..+3,-3.7764988824572185,30.31052017211914,False,24663,1858,0.3330024480819702
31,77:31,apc,physical,neg,no,physical,-13.309591293961098,-5.04177188873291,True,873,71574,0.7919080853462219
32,77:32,command_post,physical,pos,no,physical,-9.268215868634108,16.825956344604492,False,9985,13915,0.687335193157196
33,77:33,apc,physical,pos,no,physical,-9.645341478201829,-5.18184232711792,True,1106,82894,0.5724450945854187
34,77:34,patrol,low_ild,pos,no,-6..+3,-2.416595239387213,26.069738388061523,False,19335,2427,0.3200245797634125
35,77:35,windy_ridge,physical,pos,yes,physical,-10.042944667038487,18.16686248779297,False,10523,2159,0.8250982761383057
36,77:36,firefight,physical,pos,no,physical,-11.684394398569818,20.926250457763672,False,20253,4725,0.9004436135292053
37,77:37,drone,low_ild,pos,no,-6..+3,-3.1054058107282714,21.25958251953125,False,10775,4871,0.7343424558639526
38,77:38,patrol,physical,neg,no,physical,-8.638089998381545,30.63083839416504,False,29380,441,0.9976237416267395
39,77:39,apc,physical,pos,no,physical,-9.647322156797522,-15.822851181030273,True,615,62154,0.6020152568817139
40,77:40,drone,low_ild,pos,no,-6..+3,-5.623924843769501,11.998509407043457,False,7702,41990,0.3028520345687866
41,77:41,firefight,physical,pos,no,physical,-13.305680917138226,15.465246200561523,True,16600,6949,0.8323991894721985
42,77:42,firefight,physical,pos,no,physical,-16.62203783855213,13.854154586791992,True,20768,6339,0.8636558055877686
43,77:43,firefight,low_ild,pos,no,-6..+3,-4.419803462287124,28.33937644958496,True,12463,3566,0.3836168348789215
44,77:44,drone,physical,pos,no,physical,-11.5239718359257,9.900107383728027,False,12765,19236,0.6171592473983765
45,77:45,windy_ridge,physical,pos,yes,physical,-12.637461149252296,2.056324005126953,False,5480,9575,0.8386721014976501
46,77:46,helicopter,physical,neg,no,physical,-10.665488334038091,-9.477002143859863,True,3289,51907,0.7388295531272888
47,77:47,artillery,physical,pos,no,physical,-13.078441599590203,26.018592834472656,False,19528,4663,0.677039623260498
48,77:48,command_post,physical,pos,no,physical,-13.289285220827828,14.926130294799805,False,11856,30660,0.794546365737915
49,77:49,windy_ridge,physical,pos,yes,physical,-13.892637556717034,-6.4737725257873535,False,4547,15159,0.839257001876831
50,77:50,drone,physical,pos,no,physical,-12.831604481320433,19.815013885498047,False,24148,4370,0.8898705244064331
51,77:51,patrol,physical,pos,no,physical,-14.13902262627613,21.84571075439453,False,14588,8512,0.8650431036949158
52,77:52,drone,physical,neg,no,physical,-9.046783651327178,22.625551223754883,False,8097,11929,0.36812183260917664
53,77:53,apc,mono,pos,no,-6..+3,0.0,-14.263326644897461,True,1664,39129,0.5
54,77:54,patrol,physical,pos,yes,physical,-12.060991786367858,6.9952850341796875,False,15159,9723,0.8932589292526245
55,77:55,apc,physical,pos,no,physical,-9.631303794452243,-14.390190124511719,True,344,76974,0.49466007947921753
56,77:56,patrol,low_ild,pos,yes,-6..+3,2.027275135405546,12.931415557861328,False,24289,4621,0.4946672022342682
57,77:57,apc,mono,pos,no,-6..+3,0.0,-22.009090423583984,True,106,56173,0.5
58,77:58,apc,physical,pos,no,physical,-13.950490113092961,-13.70797061920166,True,1435,44614,0.7483044266700745
59,77:59,apc,physical,pos,no,physical,-15.309462299772035,-8.00913143157959,True,1069,78594,0.7011719942092896
60,77:60,apc,mono,pos,no,-6..+3,0.0,-12.036028861999512,True,1844,55561,0.5
61,77:61,drone,physical,pos,no,physical,-8.694491947245986,13.978357315063477,False,14368,6447,0.8783230781555176
62,77:62,patrol,physical,pos,yes,physical,-12.906414927476973,18.731700897216797,False,17269,2611,0.7073203921318054
63,77:63,firefight,physical,pos,no,physical,-14.885947726771867,26.27617073059082,False,15490,3182,0.8882514238357544
64,77:64,windy_ridge,low_ild,pos,yes,-6..+3,-3.69166273248376,-0.4143601357936859,False,19455,7490,0.5596047043800354
65,77:65,windy_ridge,physical,pos,yes,physical,-9.81732412951133,10.84287166595459,False,13895,3762,0.804050862789154
66,77:66,command_post,mono,pos,no,-6..+3,0.0,11.360703468322754,False,16253,19112,0.5
67,77:67,command_post,physical,pos,no,physical,-12.630986745081724,15.181227684020996,False,10480,11892,0.8820850253105164
68,77:68,patrol,physical,pos,no,physical,-12.538380387198764,30.894315719604492,False,17757,955,0.775519847869873
69,77:69,helicopter,low_ild,none,yes,-6..+3,-2.7387534386962855,-6.528148174285889,True,3103,73975,0.7303755879402161
70,77:70,patrol,stereo,unspatialised,yes,-6..+3,-0.33100216630373325,12.640191078186035,False,11155,12923,0.3970756530761719
71,77:71,windy_ridge,low_ild,pos,yes,-6..+3,-2.556620572709413,-10.246007919311523,False,2261,16636,0.568938136100769
72,77:72,apc,mono,pos,no,-6..+3,0.0,-12.464309692382812,True,1338,47219,0.5
73,77:73,patrol,physical,neg,no,physical,-13.928599094887318,19.774320602416992,False,9924,3533,0.9657170176506042
74,77:74,apc,mono,pos,no,-6..+3,0.0,-5.061140537261963,True,2546,63076,0.5000000596046448
75,77:75,command_post,low_ild,pos,no,-6..+3,-1.4952781297675912,5.6332244873046875,False,5383,38240,0.13311366736888885
76,77:76,patrol,mono,pos,no,-6..+3,0.0,10.49809455871582,False,14341,4743,0.5
77,77:77,apc,physical,neg,no,physical,-10.229333140861263,-20.758821487426758,True,429,41675,0.554970383644104
78,77:78,command_post,mono,pos,no,-6..+3,0.0,20.092782974243164,False,10082,19552,0.5000000596046448
79,77:79,windy_ridge,physical,pos,yes,physical,-10.38651225686803,2.3291752338409424,False,13605,9641,0.7938563823699951
80,77:80,patrol,physical,pos,no,physical,-14.963331731705495,24.9307861328125,False,27094,1034,0.7956230640411377
81,77:81,drone,low_ild,none,no,-6..+3,-0.279060808316288,15.363821983337402,False,4173,36222,0.22766315937042236
82,77:82,patrol,low_ild,pos,yes,-6..+3,1.9024976907105113,11.740049362182617,False,12615,3160,0.2513226568698883
83,77:83,patrol,physical,pos,no,physical,-15.739841527405282,24.706878662109375,False,12512,5648,0.9968737363815308
84,77:84,command_post,physical,none,no,physical,-14.443067191605472,16.06752586364746,False,17984,15731,0.8464983105659485
85,77:85,command_post,physical,pos,no,physical,-11.935921492808035,10.573426246643066,False,5624,28546,0.9060944318771362
86,77:86,drone,low_ild,pos,no,-6..+3,2.631033688667628,7.805704593658447,False,15624,33002,0.23435524106025696
87,77:87,patrol,low_ild,pos,no,-6..+3,-1.3165324110790309,8.873441696166992,False,9493,7579,0.2289513349533081
88,77:88,firefight,low_ild,pos,no,-6..+3,0.23843393051066286,19.48096466064453,False,16440,2345,0.04996498301625252
89,77:89,windy_ridge,physical,pos,yes,physical,-15.795199901047276,19.176301956176758,False,16891,2229,0.8995457887649536
90,77:90,patrol,physical,pos,no,physical,-9.890601252087365,8.79711627960205,False,12021,14847,0.8711963295936584
91,77:91,windy_ridge,physical,none,yes,physical,-16.23512164622381,-3.4191176891326904,False,3392,14539,0.8293256759643555
92,77:92,patrol,low_ild,neg,yes,-6..+3,-1.866634338279539,15.177363395690918,False,25749,8106,0.8136278390884399
93,77:93,helicopter,low_ild,pos,yes,-6..+3,1.2657809488101464,-14.755399703979492,True,438,76897,0.3074381947517395
94,77:94,drone,physical,pos,no,physical,-12.990538430491569,20.71912384033203,False,15401,5189,0.8378879427909851
95,77:95,artillery,physical,pos,no,physical,-14.599631079207423,15.520938873291016,False,10618,22269,0.7833846807479858
96,77:96,apc,physical,pos,no,physical,-13.320415052408222,-20.161611557006836,True,466,57396,0.7044017910957336
97,77:97,patrol,physical,pos,no,physical,-9.297692226727648,13.422662734985352,False,3838,22213,0.590699315071106
98,77:98,patrol,physical,pos,no,physical,-14.021887915532396,37.89814376831055,False,15894,107,0.8548032641410828
99,77:99,firefight,low_ild,pos,yes,-6..+3,1.1247104304906905,7.893426895141602,False,5112,45794,0.21489478647708893
100,77:100,windy_ridge,physical,pos,yes,physical,-11.561730130753858,15.533815383911133,False,28050,1393,0.8455883860588074
101,77:101,helicopter,low_ild,none,yes,-6..+3,-4.71689180585701,-11.013298034667969,True,1123,76859,0.680406928062439
102,77:102,firefight,low_ild,neg,yes,-6..+3,-3.8422029895829617,-8.774450302124023,True,3493,28781,0.8249383568763733
103,77:103,artillery,physical,pos,no,physical,-11.061486530654221,32.94334411621094,True,13180,513,0.30654871463775635
104,77:104,helicopter,mono,pos,no,-6..+3,0.0,-9.263697624206543,True,1796,79328,0.5
105,77:105,artillery,low_ild,none,no,-6..+3,-3.0781620754343884,27.63493537902832,True,10425,2771,0.6756443977355957
106,77:106,drone,physical,pos,no,physical,-12.655764600934177,17.315792083740234,False,19269,4244,0.9790061116218567
107,77:107,apc,physical,pos,no,physical,-17.31425543687012,-23.189680099487305,True,108,73098,0.47717320919036865
108,77:108,command_post,physical,none,no,physical,-11.42761802858957,12.655033111572266,False,6459,16931,0.7359160780906677
109,77:109,helicopter,physical,pos,no,physical,-13.274669510436144,-6.162814140319824,True,3663,37370,0.7317231297492981
110,77:110,firefight,low_ild,none,no,-6..+3,1.099151833097114,9.374513626098633,True,10635,14594,0.6426434516906738
111,77:111,drone,low_ild,pos,no,-6..+3,-2.704175098047415,4.911899089813232,False,11403,14727,0.7371670007705688
112,77:112,artillery,physical,pos,no,physical,-9.30704609144302,1.1226351261138916,False,12554,17277,0.7659306526184082
113,77:113,firefight,physical,pos,yes,physical,-15.223629225286793,15.936782836914062,False,8194,27665,0.8334700465202332
114,77:114,helicopter,physical,pos,yes,physical,-9.122718062579345,-7.773341655731201,True,2840,68813,0.6663398146629333
115,77:115,drone,low_ild,pos,no,-6..+3,-3.6973990568998225,10.955190658569336,False,8654,9387,0.37349116802215576
116,77:116,artillery,physical,pos,no,physical,-15.72213289226126,25.82529067993164,True,32795,1596,0.7090634107589722
117,77:117,helicopter,physical,pos,no,physical,-14.681967733269943,-15.685050964355469,True,354,75284,0.5011133551597595
118,77:118,windy_ridge,physical,none,yes,physical,-13.561824594187584,15.6080322265625,False,14313,3848,0.9018563628196716
119,77:119,patrol,low_ild,none,yes,-6..+3,-4.163144744698997,3.4023845195770264,False,5294,11741,0.7456747889518738
120,77:120,patrol,mono,pos,no,-6..+3,0.0,16.670795440673828,False,14830,7296,0.5000000596046448
121,77:121,drone,physical,neg,no,physical,-9.842148612533514,11.378616333007812,False,8721,9837,0.7422804832458496
