i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
0,101:0,firefight,physical,pos,no,physical,-11.778589157984928,15.081185340881348,True,22947,9721,0.8376758694648743
1,101:1,firefight,low_ild,pos,no,-6..+3,-1.1672118925024044,20.455848693847656,False,11108,4731,0.3595736622810364
2,101:2,helicopter,physical,pos,no,physical,-11.864525061059883,-16.67298126220703,True,198,89996,0.5375832915306091
3,101:3,command_post,mono,pos,no,-6..+3,0.0,4.772922515869141,False,3418,49570,0.5
4,101:4,artillery,low_ild,pos,no,-6..+3,0.04994172720637735,21.081623077392578,False,28697,3054,0.29959654808044434
5,101:5,firefight,physical,pos,no,physical,-13.187417982260328,11.065214157104492,True,16189,7929,0.8151412010192871
6,101:6,command_post,physical,none,no,physical,-14.492700041591469,8.580327033996582,False,6350,26548,0.8881215453147888
7,101:7,artillery,low_ild,pos,no,-6..+3,-1.5566816865808732,21.58940887451172,False,11687,4581,0.27260786294937134
8,101:8,artillery,physical,pos,no,physical,-12.512121010872018,-1.0430988073349,True,20348,12325,0.7674474120140076
9,101:9,helicopter,low_ild,pos,yes,-6..+3,2.6820343958142843,-9.043806076049805,True,967,68521,0.16614626348018646
10,101:10,apc,physical,pos,no,physical,-15.453047096628286,-8.524927139282227,True,4644,53133,0.9220248460769653
11,101:11,apc,physical,neg,no,physical,-13.741455926186418,-12.738232612609863,True,1309,45417,0.7890912890434265
12,101:12,patrol,mono,pos,no,-6..+3,0.0,25.723278045654297,False,17042,972,0.5000002384185791
13,101:13,helicopter,physical,none,yes,physical,-12.45245316637726,-13.059210777282715,True,386,64342,0.7564989328384399
14,101:14,command_post,low_ild,pos,no,-6..+3,-3.060143154466445,1.197439432144165,False,4245,57746,0.2843470871448517
15,101:15,helicopter,low_ild,pos,yes,-6..+3,-0.4266476912751287,-19.94163703918457,True,345,84884,0.22863386571407318
16,101:16,apc,physical,pos,no,physical,-12.543478022093058,-17.24944305419922,True,2169,63985,0.7781872749328613
17,101:17,helicopter,physical,pos,yes,physical,-16.810482282872037,-19.82768440246582,True,62,90510,0.3162829875946045
18,101:18,artillery,physical,pos,no,physical,-18.5230416202625,27.32232666015625,True,31936,3054,0.9086952805519104
19,101:19,command_post,low_ild,none,no,-6..+3,2.386638869408614,24.333297729492188,False,16173,3170,0.17527690529823303
20,101:20,windy_ridge,physical,pos,yes,physical,-8.551489801289865,21.522409439086914,False,25922,1525,0.7302420139312744
21,101:21,windy_ridge,mono,pos,yes,-6..+3,0.0,-2.610088348388672,False,8473,10642,0.5000000596046448
22,101:22,apc,physical,pos,no,physical,-11.708946112620705,-5.968921184539795,True,10650,35554,0.80385422706604
23,101:23,command_post,physical,pos,no,physical,-16.23379955620962,26.034011840820312,False,8855,2505,0.9653744697570801
24,101:24,artillery,mono,neg,no,-6..+3,0.0,6.76455545425415,True,12260,21695,0.4999999701976776
25,101:25,command_post,low_ild,pos,no,-6..+3,-5.800122176733808,17.815263748168945,False,11154,7687,0.4712408185005188
26,101:26,command_post,physical,pos,no,physical,-14.621151086364982,2.8069984912872314,False,6090,56971,0.9181315302848816
27,101:27,artillery,stereo,unspatialised,no,-6..+3,-0.45126539899781903,14.348793983459473,False,6613,35290,0.48231077194213867
28,101:28,firefight,physical,pos,yes,physical,-9.300430073198399,9.46607494354248,True,15200,14477,0.7863600254058838
29,101:29,firefight,low_ild,neg,no,-6..+3,2.900968786812996,22.2681827545166,False,21513,6782,0.8601970672607422
30,101:30,command_post,mono,pos,no,-6..+3,0.0,3.723104953765869,False,4515,59097,0.4999999403953552
31,101:31,command_post,physical,pos,no,physical,-16.736138127946568,9.922578811645508,False,6311,18478,0.9445316791534424
