scene,effort,lombard,path,speech_spl_set,snr_db,wind_mps,wind_spl_set,event_fired,event_peak_set,impulse_source,bed_spl_set,near_spl_set,total_A,total_Z,total_peak,total_lf_share_pre,total_crest,past_knee,knee_sample_frac,past_aop,aop_frame_frac,past_rails,rails_sample_frac,overloaded_meta,clipped_meta,speech_A,speech_Z,speech_peak,speech_crest,speech_lf_share_pre,speech_lf_peak_pre,rails_frac_without_speech,bed_A,bed_Z,bed_peak,bed_crest,bed_lf_share_pre,bed_lf_peak_pre,rails_frac_without_bed,near_A,near_Z,near_peak,near_crest,near_lf_share_pre,near_lf_peak_pre,rails_frac_without_near,wind_A,wind_Z,wind_peak,wind_crest,wind_lf_share_pre,wind_lf_peak_pre,rails_frac_without_wind,rails_dom_speech,rails_dom_bed,rails_dom_near,rails_dom_point,rails_dom_wind,rails_dom_impulse,rails_frac_if_hpf_after,peak_if_hpf_after,i,impulse_A,impulse_Z,impulse_peak,impulse_crest,impulse_lf_share_pre,impulse_lf_peak_pre,rails_frac_without_impulse,point_spl_set,point_A,point_Z,point_peak,point_crest,point_lf_share_pre,point_lf_peak_pre,rails_frac_without_point
helicopter,shout,True,param,106.71486709699,-6.57475471496582,14.671442840942918,105.8739665287845,False,,,103.56071355206646,106.33370287701293,107.98139164478266,112.9687766031314,129.4232177734375,0.016787499378985913,16.454441170306097,True,0.907578125,False,0.0,True,0.0018697916666666667,True,True,99.95224042403113,104.81441542272992,121.1661148071289,16.351699384398984,0.0007960206181760818,86.46206626336806,0.0012916666666666667,102.56198507901367,104.51317233734486,120.39515686035156,15.881984523006707,0.0009254826729596557,85.94995733134846,0.0012916666666666667,105.32671493659129,111.24267167206665,127.17669677734375,15.934025105277101,0.010674507410163556,104.49262414932684,5.208333333333333e-06,89.58738060456879,98.57888597952514,120.35919189453125,21.78030591500611,0.21055039183077479,112.92124480557219,0.0018125,0.022284122562674095,0.0,0.9637883008356546,0.0,0.013927576601671309,0.0,0.0023854166666666668,128.9718017578125,0,,,,,,,,,,,,,,,
helicopter,shout,True,param,108.02175893950228,5.569364547729492,13.73281098582664,93.0554112768198,False,,,100.44531119287562,,103.21351183635227,107.6113352460506,123.59942626953125,0.00715979314990692,15.98809102348065,True,0.8325625,False,0.0,True,1.5625e-05,True,True,99.60367850180519,106.01123014612408,122.08443450927734,16.073204363153266,0.0012440845532345295,95.06920389634912,0.0,100.73127254945624,102.46135329408014,114.97867584228516,12.517322548205016,0.006644444444006814,97.10226408551264,0.0,,,,,,,,80.35362938547044,89.12154922614872,105.96037292480469,16.838823698655972,0.23294224124193452,99.61439473872586,1.5625e-05,1.0,0.0,0.0,0.0,0.0,0.0,2.604166666666667e-05,124.17095184326172,1,,,,,,,,,,,,,,,
helicopter,shout,True,param,107.58123384354319,-1.4367090463638306,0.0,,False,,,101.0827153128554,102.84315097917286,107.75198946959357,110.1145308937468,128.89930725097656,0.05488585167130668,18.78477635722976,True,0.890546875,False,0.0,True,0.0005989583333333333,True,True,105.34299901195638,105.88464898612546,128.2738494873047,22.389200501179232,0.00029998443639968233,82.54883604270303,1.5625e-05,100.11053794575474,106.8935913691796,122.82793426513672,15.934342895957116,0.10735679402256292,113.64710325169787,0.00040625,101.88549460053622,102.08073745826074,121.9207763671875,19.840038908926758,0.0005660844558977215,81.08654339376864,0.0004895833333333333,,,,,,,,0.9478260869565217,0.034782608695652174,0.017391304347826087,0.0,0.0,0.0,0.0006822916666666667,129.00462341308594,2,,,,,,,,,,,,,,,
helicopter,loud,True,param,100.83518044580165,-18.58683204650879,13.354629953823894,98.51259646606897,False,,,108.9789188576445,115.0865352815824,115.34645796139087,118.75698511577778,140.6852569580078,0.014553386996078322,12.170764518011282,True,0.9808541666666667,True,0.525,True,0.38181770833333334,True,True,95.88945263750333,97.99239693622233,121.86471557617188,23.87231863994954,7.443435736223411e-05,85.52186166292125,0.381265625,108.27945795428381,110.96352313887436,127.16327667236328,16.199753533488916,0.014447916919198422,105.44974414683196,0.36884375,114.38587775773583,118.06703935282476,129.08999633789062,11.02295698506586,0.014641857072119523,111.04363101457832,0.002015625,79.12151296874177,88.05155262667445,108.42330932617188,20.371756699497425,0.20637803194090407,100.28308527201759,0.38190104166666666,4.092266979497742e-05,0.014786724685918509,0.9851723526442865,0.0,0.0,0.0,0.38566666666666666,141.09225463867188,3,,,,,,,,,,,,,,,
helicopter,loud,True,param,100.06765161822265,-22.743986129760742,10.913267859952638,95.41830756681092,False,,,109.6784346308262,116.38873715796873,116.82367632929929,122.40470581078394,138.49777221679688,0.1357403662290161,16.093066406012937,True,0.9646927083333333,True,0.33,True,0.13422916666666668,True,True,99.35565808569889,98.43488753684827,117.98015594482422,19.545268407975954,0.027349366700146278,104.57163927269882,0.13377604166666668,109.18281141236311,113.71802985548206,129.21095275878906,15.492922903307004,0.014727772595896433,110.00357817904633,0.10311979166666667,115.8851855637034,121.73791602281734,138.4139404296875,16.676024406870155,0.1541976931301549,130.6197935771227,0.008958333333333334,81.63455909689374,90.72444612908323,108.91429901123047,18.189852882147235,0.21926607099334347,103.27186216644697,0.13409375,0.00042681980443892595,0.1350690672047183,0.8645041129908427,0.0,0.0,0.0,0.15426041666666668,139.3049774169922,4,,,,,,,,,,,,,,,
helicopter,loud,True,param,102.7703562018345,-7.2757415771484375,22.121511335245202,107.54049213440811,False,,,105.18282373147184,,106.38325775829337,110.39320961293852,127.97193908691406,0.036051976258089966,17.578729473975542,True,0.894375,False,0.0,True,0.0004375,True,True,99.43718132460809,99.89424716899248,126.8272933959961,26.933046227003615,0.002817812688729072,97.68379550256326,0.00024479166666666665,105.16701450719799,109.36491364347162,122.7667465209961,13.40183287752447,0.007338354166503038,102.79941440391787,0.000109375,,,,,,,,92.11845221256279,101.04100043195152,123.19551849365234,22.154518061700827,0.21578703739769356,112.422008700552,0.00019791666666666666,0.34523809523809523,0.5357142857142857,0.0,0.0,0.11904761904761904,0.0,0.0007864583333333333,128.16021728515625,5,,,,,,,,,,,,,,,
helicopter,loud,True,param,101.41296951977921,-9.40074634552002,0.0,,False,,,105.02210067644938,106.40424492841133,109.94542400678493,112.06237700563223,125.74465942382812,0.044556715681200794,13.682282418195896,True,0.9005104166666666,False,0.0,True,0.00019791666666666666,True,True,97.94601209178794,100.61836552838065,120.70476531982422,20.08639979144357,0.01002440401291601,100.57199936435711,8.854166666666667e-05,105.95063943615986,107.2838919388084,120.80903625488281,13.525144316074417,0.0016478975013474728,90.27098055585707,1.5625e-05,107.32983273053708,109.89276150379281,122.152587890625,12.259826386832188,0.06830451549220172,109.1340889326782,0.0,,,,,,,,0.13157894736842105,0.18421052631578946,0.6842105263157895,0.0,0.0,0.0,0.00017708333333333335,126.24437713623047,6,,,,,,,,,,,,,,,
helicopter,shout,True,param,106.39629064842748,-13.439274787902832,22.33896161040868,114.57984598709021,False,,,109.28993993341615,114.24279716330535,115.663401487474,119.91631055068302,138.08091735839844,0.020834240286541128,18.164606807715415,True,0.95671875,True,0.17833333333333334,True,0.068,True,True,102.37285915190705,102.72540558332096,127.53314971923828,24.807744135917318,0.0019870120077957773,92.59051173104734,0.06619270833333334,109.28976202443964,113.92715620770039,129.48739624023438,15.560240032533983,0.01487666928049225,109.76332527968609,0.04444270833333333,114.24405530096483,118.28792801106556,136.91159057617188,18.623662565106315,0.00784672678806383,107.9465984193564,0.013239583333333334,96.56225013245162,105.58466466330837,126.67359924316406,21.08893457985569,0.25310724783201854,121.52323446968586,0.063375,0.011412377450980392,0.2340686274509804,0.7166819852941176,0.0,0.037837009803921566,0.0,0.07222395833333334,137.69622802734375,7,,,,,,,,,,,,,,,
helicopter,loud,True,param,100.61083060195695,-21.091976165771484,22.626982984880872,115.44463038429555,False,,,107.80463553109487,113.39446861527138,115.32480582599683,122.63676193847579,136.3331298828125,0.09698622408479043,13.696367944336714,True,0.9658958333333333,True,0.36833333333333335,True,0.16778125,True,True,100.68189333623394,100.25250724294597,125.23531341552734,24.982806172581377,0.004854807313308933,86.68240308543241,0.16651041666666666,108.5000420342021,113.78734027243742,129.59864807128906,15.811307798851644,0.003515826849020267,100.46778137241625,0.12923958333333332,114.0641367688714,121.90188300499884,135.67556762695312,13.773684621954288,0.10429177418728665,122.50990558035693,0.02619270833333333,96.6485018517436,105.68200065144863,128.66876220703125,22.986761555582618,0.20009294328773997,117.24250087562177,0.161796875,0.000869187309865276,0.17116781523561184,0.8148010181908487,0.0,0.013161979263674179,0.0,0.1918125,136.99942016601562,8,,,,,,,,,,,,,,,
helicopter,loud,True,param,101.92313205084686,-16.967252731323242,14.750018593501448,94.89626610666849,False,,,108.05588420394025,115.27016784737387,117.03025738723021,119.87913073330103,132.53497314453125,0.0048390336952260134,12.655842411230225,True,0.963140625,True,0.21166666666666667,True,0.08534375,True,True,100.77204578447513,101.5800133827723,121.18065643310547,19.600643050333176,0.006062279431409595,101.58450435786254,0.08365104166666666,108.91676705348229,115.21257869360132,128.4561767578125,13.243598064211184,0.009810375449180427,107.3523990478481,0.03800520833333333,116.14268661699151,117.8835075426066,131.0214385986328,13.137931056026218,0.0011624261358407864,99.92141129655806,0.017192708333333334,83.56570319545716,92.50399929799468,109.40977478027344,16.905775482278756,0.2525113089311701,103.24823391092835,0.08496354166666667,0.002563163676309044,0.3733675088490174,0.6240693274746735,0.0,0.0,0.0,0.08777083333333334,132.97793579101562,9,,,,,,,,,,,,,,,
helicopter,loud,True,param,100.50866325691473,-15.359402656555176,20.00445187993258,105.51148277137509,False,,,110.56349156816783,,110.00524956158785,113.7081814370735,130.91949462890625,0.05097992678579394,16.132516805113994,True,0.927875,False,0.0,True,0.0131875,True,True,96.42005353644575,97.78090272081494,118.12701416015625,20.346111439341314,0.5254639129527212,102.59305024902402,0.01303125,109.7650097838147,113.40106047603902,129.4654541015625,16.06439362552348,0.014916356728534936,104.20850155551213,0.0,,,,,,,,90.30228257320591,99.35506462867025,119.46929168701172,20.11422705834147,0.20774573176099953,110.61739812667112,0.012796875,0.0,1.0,0.0,0.0,0.0,0.0,0.013588541666666667,130.11395263671875,10,,,,,,,,,,,,,,,
helicopter,loud,True,param,104.34451020886355,-19.43805503845215,21.227487176859995,103.65638469901583,False,,,110.84155463936668,111.73369899983958,114.36903435573075,123.59916723009276,137.3515167236328,0.48926030037059604,13.752349493540052,True,0.9718229166666666,True,0.5383333333333333,True,0.2051875,True,True,102.1737556754261,103.24101947283495,126.46732330322266,23.226303830387707,0.003073775000861367,95.9573152354921,0.20338020833333334,110.64349236628036,115.19188977208282,133.91009521484375,18.718205442760933,0.2891803655381052,121.36944139357713,0.14618229166666666,111.4678070251615,122.76925619743885,136.06134033203125,13.2920841345924,0.5250030525712382,131.8648212025494,0.03843229166666667,87.25044856130143,96.20603148035907,116.5949935913086,20.38896211094952,0.2591839724409969,108.55884415092757,0.20408854166666668,0.001497613970961519,0.23279013097776424,0.7656868717636308,0.0,2.5383287643415574e-05,0.0,0.3211510416666667,139.16867065429688,11,,,,,,,,,,,,,,,
helicopter,shout,True,param,109.43555185710717,-8.857121467590332,10.329891004111547,92.22058344688446,False,,,106.76010970355235,113.3545376072617,114.27090861615775,118.15294428198118,130.6110076904297,0.017496975372367184,12.45806340844851,True,0.947515625,True,0.02666666666666667,True,0.041,True,True,106.92466566715842,107.34110241303199,122.43052673339844,15.089424320366447,0.002309802141967385,98.73986037309392,0.033859375,105.91622011406392,108.48092523239232,119.44783020019531,10.96690496780299,0.0023131572244512056,96.62367101015897,0.03272916666666666,112.50568740800476,117.21053810833165,128.31378173828125,11.103243629949603,0.020883858002846464,113.41227689705816,0.000609375,74.85123816516102,83.89735999940925,105.35480499267578,21.457444993266535,0.2625076743449627,98.57601156380008,0.040916666666666664,0.04801829268292683,0.020198170731707318,0.9317835365853658,0.0,0.0,0.0,0.044640625,129.88232421875,12,,,,,,,,,,,,,,,
helicopter,loud,True,param,100.06791209458123,-6.320809841156006,24.503772425852787,107.9048685107994,False,,,101.31783583775797,,103.27974062485441,107.04804321607232,122.3105239868164,0.11522513594267768,15.076788937247997,True,0.8528333333333333,False,0.0,False,0.0,True,False,96.43428446213404,98.37540214826359,115.1402816772461,16.764879528982505,3.167822772482775e-05,73.00048300005136,0.0,101.32401036473632,102.52308125910268,110.8575439453125,8.334462686209818,0.0021172069108320855,90.63092830997178,0.0,,,,,,,,95.08136798526982,104.084630236677,121.04058074951172,16.95595051283472,0.2006597742875398,112.64996361641663,0.0,,,,,,,4.6875e-05,123.84757995605469,13,,,,,,,,,,,,,,,
helicopter,loud,True,param,102.94435888924635,-7.217348098754883,11.623426561677288,92.94017909469946,False,,,101.3461462200907,105.5542246149225,107.64588155545788,110.56675138639069,123.96510314941406,0.005396504384810549,13.39835176302337,True,0.8772395833333333,False,0.0,True,2.0833333333333333e-05,True,True,100.01307130830594,101.1553867631856,119.51085662841797,18.355469865232365,1.2753739490803512e-05,68.66002275109005,0.0,101.21479483250047,101.788563539662,114.75515747070312,12.966593931041132,0.0038117377437227326,90.20847093559483,5.208333333333333e-06,105.41842784072955,109.32133008160018,120.99925994873047,11.677929867130288,0.0059688700205654125,98.48423181372651,0.0,74.31761251355559,83.62665711926778,107.94709014892578,24.320433029658005,0.2106484780202915,95.91879848015117,2.0833333333333333e-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0416666666666666e-05,123.1180648803711,14,,,,,,,,,,,,,,,
helicopter,loud,True,param,103.27383870377162,-18.415061950683594,0.0,,False,,,109.83788161355942,117.77162231240666,117.57152695661792,120.76563663486537,146.6473388671875,0.07563573808696485,14.08642940517369,True,0.9832239583333333,True,0.8383333333333334,True,0.44226041666666666,True,True,101.72037059502118,100.76438268151615,125.01731872558594,24.252936044069784,0.00011724376921042856,77.74489264576226,0.4412291666666667,108.86252999378915,114.24149224260995,130.749267578125,16.50777533551505,0.2650709370538534,125.76147494751011,0.4140625,116.8038381851538,119.6122392542081,134.58929443359375,14.977055179385644,0.002292320624229981,105.89819138201403,0.017791666666666667,,,,,,,,0.0006712673999576042,0.0459170454813105,0.9534116871187319,0.0,0.0,0.0,0.45231770833333335,146.30352783203125,15,,,,,,,,,,,,,,,
helicopter,shout,True,param,108.81967932447499,-4.870688438415527,23.030324637851777,106.82821996912102,False,,,109.23284544208141,,110.25688725858487,114.50849503449466,128.01133728027344,0.03170621630138733,13.50284224577878,True,0.9454479166666667,False,0.0,True,0.008697916666666666,True,True,95.38084756744908,101.58306112289245,123.18342590332031,21.600364780427867,0.00015435248152946595,79.9528244978163,0.007666666666666666,109.99022208760064,113.94070604599492,128.0648193359375,14.124113289942585,0.007810195824573991,101.94454573035885,8.333333333333333e-05,,,,,,,,94.61342354097859,103.48313738279288,121.33194732666016,17.84880994386728,0.2350161821369673,112.23382000619264,0.006411458333333333,0.04431137724550898,0.9281437125748503,0.0,0.0,0.027544910179640718,0.0,0.010385416666666666,128.28480529785156,16,,,,,,,,,,,,,,,
helicopter,shout,True,param,106.11465087305558,-4.777362823486328,22.88158043213948,113.13354094612993,False,,,107.54273908312446,,107.90061131091333,111.16233772234382,127.99950408935547,0.06751542870991226,15.777100143867116,True,0.9206822916666667,False,0.0,True,0.0021770833333333334,True,True,100.9217037741504,104.04668142760343,123.81523132324219,19.768549895638756,0.008140956351069904,99.46168416217998,0.0019166666666666666,106.56237627129433,108.9330550616476,123.12435913085938,14.191304069211782,0.009213396000675611,99.40289439755483,0.0008020833333333334,,,,,,,,95.44717097222451,104.41051265312865,124.24369049072266,19.833177837594008,0.23727577303798333,121.16970041052423,0.00028645833333333333,0.014354066985645933,0.32057416267942584,0.0,0.0,0.6650717703349283,0.0,0.003625,128.95611572265625,17,,,,,,,,,,,,,,,
helicopter,shout,True,param,108.83457785510703,-3.87514591217041,21.14470193496473,105.13291613344045,False,,,107.82658001404504,,111.01027707866912,114.9312369894302,132.30810546875,0.00912903684719731,17.376868479319796,True,0.9394739583333334,True,0.005,True,0.010453125,True,True,106.8913484003792,108.82148598975488,131.37832641601562,22.55684042626075,0.00017451115981185784,89.40698826136575,0.004869791666666666,108.8109079894507,113.52169134528391,124.7520980834961,11.230406738212181,0.0035292829179730516,103.23694036470691,0.002453125,,,,,,,,89.69537851801722,98.81581948012928,117.2402114868164,18.42439200668713,0.20881012094830914,108.54770257918088,0.009364583333333334,0.3692077727952167,0.6287992027902342,0.0,0.0,0.001993024414549078,0.0,0.010307291666666666,132.01707458496094,18,,,,,,,,,,,,,,,
helicopter,loud,True,param,102.60643177930133,-19.651416778564453,10.494354274995816,90.00755285023774,False,,,113.18002286402336,118.22502349892517,119.73314006581485,122.61248901848506,148.98214721679688,0.0197099620652434,15.441466059639936,True,0.982875,True,0.82,True,0.42899479166666665,True,True,94.6192902283437,97.6191336096882,116.72379302978516,19.10465942009695,6.671325896965277e-05,73.24264585423656,0.4284375,113.47104698750951,117.07565097324482,127.29463195800781,10.218980984762993,0.010915311478598417,110.24068540321969,0.3818697916666667,118.51720825787496,121.19171114540025,137.99571228027344,16.80400113487319,0.02316243843989293,122.47194882329099,0.03746875,74.5431705602914,83.34076912752286,104.19024658203125,20.84947745450839,0.21147598750667398,94.51897169155713,0.4290572916666667,2.4281569074993627e-05,0.11307926718224531,0.8868964512486797,0.0,0.0,0.0,0.4318385416666667,148.43988037109375,19,,,,,,,,,,,,,,,
helicopter,shout,True,param,107.21158459650508,-4.024909019470215,14.75648351296174,103.56197263143721,False,,,103.40869684650228,,106.60498557181097,113.44059142422364,127.47787475585938,0.035258088715774884,14.037283331635734,True,0.9290677083333333,False,0.0,True,0.0020833333333333333,True,True,102.27418883309666,107.53327512986098,125.35295867919922,17.819683549338237,0.00571511011004955,104.87469473172195,0.0005,104.3498536798477,111.89841624612735,124.4825439453125,12.584127699185146,0.03322792367328348,109.22221987234244,0.00028645833333333333,,,,,,,,90.66697356082202,99.58658159633306,118.30410766601562,18.717526069682563,0.20601898231067373,107.61680662852801,0.0019270833333333334,0.5025,0.495,0.0,0.0,0.0025,0.0,0.0037291666666666667,128.61488342285156,20,,,,,,,,,,,,,,,
helicopter,loud,True,param,100.4373714671499,-24.498180389404297,10.02219029108895,95.9506559307135,False,,,114.82727778008831,118.24373116761771,119.45335816546041,124.53069181788261,150.61337280273438,0.012449428792339345,16.743600174304888,True,0.9874479166666666,True,0.9883333333333333,True,0.5581770833333334,True,True,95.06575768228583,98.34505223219973,116.65259552001953,18.307543287819797,0.0017538312400044746,91.64550218871679,0.5578489583333334,114.38809102134002,120.63535280876496,136.69549560546875,16.060142796703786,0.004008909154843227,111.91062262029695,0.4856979166666667,117.8146248722506,122.25716355814119,138.1042938232422,15.847130265101,0.017888340460074093,119.69997572806953,0.169484375,80.54346115222798,89.63086566520923,108.74556732177734,19.114701656568116,0.24159234001675725,103.54716645741055,0.558078125,0.0,0.18424932350471213,0.8157506764952879,0.0,0.0,0.0,0.5654010416666667,150.86883544921875,21,,,,,,,,,,,,,,,
